,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2017-08-12,Away,W,3,0,Crystal Palace,1.5,1.1,45.0,Huddersfield
1,2017-08-20,Home,W,1,0,Newcastle Utd,0.3,0.7,52.0,Huddersfield
3,2017-08-26,Home,D,0,0,Southampton,1.4,0.7,45.0,Huddersfield
4,2017-09-11,Away,L,0,2,West Ham,0.4,1.7,56.0,Huddersfield
5,2017-09-16,Home,D,1,1,Leicester City,0.7,1.3,59.0,Huddersfield
7,2017-09-23,Away,D,0,0,Burnley,0.3,0.3,48.0,Huddersfield
8,2017-09-30,Home,L,0,4,Tottenham,0.2,1.5,41.0,Huddersfield
9,2017-10-14,Away,L,0,2,Swansea City,0.7,1.5,59.0,Huddersfield
10,2017-10-21,Home,W,2,1,Manchester Utd,1.2,0.8,23.0,Huddersfield
11,2017-10-28,Away,L,0,3,Liverpool,0.1,2.1,28.0,Huddersfield
12,2017-11-04,Home,W,1,0,West Brom,0.3,0.4,50.0,Huddersfield
13,2017-11-18,Away,L,0,4,Bournemouth,1.2,0.7,69.0,Huddersfield
14,2017-11-26,Home,L,1,2,Manchester City,0.6,2.6,22.0,Huddersfield
15,2017-11-29,Away,L,0,5,Arsenal,0.5,4.0,31.0,Huddersfield
16,2017-12-02,Away,L,0,2,Everton,0.3,0.7,53.0,Huddersfield
17,2017-12-09,Home,W,2,0,Brighton,2.2,0.3,58.0,Huddersfield
18,2017-12-12,Home,L,1,3,Chelsea,0.7,1.5,36.0,Huddersfield
19,2017-12-16,Away,W,4,1,Watford,3.4,0.6,40.0,Huddersfield
20,2017-12-23,Away,D,1,1,Southampton,1.1,1.3,47.0,Huddersfield
21,2017-12-26,Home,D,1,1,Stoke City,1.8,1.6,59.0,Huddersfield
22,2017-12-30,Home,D,0,0,Burnley,0.1,1.2,56.0,Huddersfield
23,2018-01-01,Away,L,0,3,Leicester City,0.2,1.5,48.0,Huddersfield
25,2018-01-13,Home,L,1,4,West Ham,0.7,0.9,63.0,Huddersfield
26,2018-01-20,Away,L,0,2,Stoke City,0.3,1.0,51.0,Huddersfield
28,2018-01-30,Home,L,0,3,Liverpool,0.3,1.8,26.0,Huddersfield
29,2018-02-03,Away,L,0,2,Manchester Utd,0.2,1.6,26.0,Huddersfield
31,2018-02-11,Home,W,4,1,Bournemouth,2.2,0.3,50.0,Huddersfield
33,2018-02-24,Away,W,2,1,West Brom,1.1,1.2,47.0,Huddersfield
34,2018-03-03,Away,L,0,2,Tottenham,0.1,1.6,26.0,Huddersfield
35,2018-03-10,Home,D,0,0,Swansea City,1.4,0.0,80.0,Huddersfield
36,2018-03-17,Home,L,0,2,Crystal Palace,0.3,2.7,55.0,Huddersfield
37,2018-03-31,Away,L,0,1,Newcastle Utd,0.1,2.4,37.0,Huddersfield
38,2018-04-07,Away,D,1,1,Brighton,1.5,1.5,58.0,Huddersfield
39,2018-04-14,Home,W,1,0,Watford,0.8,0.2,49.0,Huddersfield
40,2018-04-28,Home,L,0,2,Everton,0.6,0.6,54.0,Huddersfield
41,2018-05-06,Away,D,0,0,Manchester City,0.2,0.8,22.0,Huddersfield
42,2018-05-09,Away,D,1,1,Chelsea,0.7,1.9,22.0,Huddersfield
43,2018-05-13,Home,L,0,1,Arsenal,1.7,2.0,45.0,Huddersfield
