,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2017-08-12,Away,D,3,3,Watford,2.6,2.1,54.0,Liverpool
2,2017-08-19,Home,W,1,0,Crystal Palace,2.5,0.7,71.0,Liverpool
4,2017-08-27,Home,W,4,0,Arsenal,3.1,0.6,48.0,Liverpool
5,2017-09-09,Away,L,0,5,Manchester City,0.7,2.4,34.0,Liverpool
7,2017-09-16,Home,D,1,1,Burnley,2.2,0.2,71.0,Liverpool
9,2017-09-23,Away,W,3,2,Leicester City,1.7,2.8,55.0,Liverpool
11,2017-10-01,Away,D,1,1,Newcastle Utd,1.3,0.3,67.0,Liverpool
12,2017-10-14,Home,D,0,0,Manchester Utd,1.5,0.2,62.0,Liverpool
14,2017-10-22,Away,L,1,4,Tottenham,0.6,2.0,63.0,Liverpool
15,2017-10-28,Home,W,3,0,Huddersfield,2.1,0.1,72.0,Liverpool
17,2017-11-04,Away,W,4,1,West Ham,2.7,1.2,52.0,Liverpool
18,2017-11-18,Home,W,3,0,Southampton,2.0,0.4,61.0,Liverpool
20,2017-11-25,Home,D,1,1,Chelsea,1.2,0.8,53.0,Liverpool
21,2017-11-29,Away,W,3,0,Stoke City,2.9,0.9,59.0,Liverpool
22,2017-12-02,Away,W,5,1,Brighton,1.8,1.7,57.0,Liverpool
24,2017-12-10,Home,D,1,1,Everton,1.6,0.9,79.0,Liverpool
25,2017-12-13,Home,D,0,0,West Brom,2.1,0.4,70.0,Liverpool
26,2017-12-17,Away,W,4,0,Bournemouth,2.5,0.6,56.0,Liverpool
27,2017-12-22,Away,D,3,3,Arsenal,2.0,1.2,46.0,Liverpool
28,2017-12-26,Home,W,5,0,Swansea City,3.1,0.4,55.0,Liverpool
29,2017-12-30,Home,W,2,1,Leicester City,2.9,0.7,61.0,Liverpool
30,2018-01-01,Away,W,2,1,Burnley,1.7,1.3,58.0,Liverpool
32,2018-01-14,Home,W,4,3,Manchester City,0.8,0.8,36.0,Liverpool
33,2018-01-22,Away,L,0,1,Swansea City,2.5,0.2,71.0,Liverpool
35,2018-01-30,Away,W,3,0,Huddersfield,1.8,0.3,74.0,Liverpool
36,2018-02-04,Home,D,2,2,Tottenham,1.2,2.6,34.0,Liverpool
37,2018-02-11,Away,W,2,0,Southampton,1.9,0.9,48.0,Liverpool
39,2018-02-24,Home,W,4,1,West Ham,4.0,0.4,67.0,Liverpool
40,2018-03-03,Home,W,2,0,Newcastle Utd,1.5,0.3,70.0,Liverpool
42,2018-03-10,Away,L,1,2,Manchester Utd,0.7,0.7,67.0,Liverpool
43,2018-03-17,Home,W,5,0,Watford,2.3,0.4,58.0,Liverpool
44,2018-03-31,Away,W,2,1,Crystal Palace,1.8,1.9,67.0,Liverpool
46,2018-04-07,Away,D,0,0,Everton,0.9,0.6,61.0,Liverpool
48,2018-04-14,Home,W,3,0,Bournemouth,2.0,0.3,61.0,Liverpool
49,2018-04-21,Away,D,2,2,West Brom,1.3,1.3,61.0,Liverpool
51,2018-04-28,Home,D,0,0,Stoke City,1.9,0.6,71.0,Liverpool
53,2018-05-06,Away,L,0,1,Chelsea,0.5,0.6,68.0,Liverpool
54,2018-05-13,Home,W,4,0,Brighton,2.8,0.1,72.0,Liverpool
