,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2017-08-12,Home,D,0,0,Swansea City,2.0,0.3,60.0,Southampton
1,2017-08-19,Home,W,3,2,West Ham,2.1,2.0,66.0,Southampton
3,2017-08-26,Away,D,0,0,Huddersfield,0.7,1.4,55.0,Southampton
4,2017-09-09,Home,L,0,2,Watford,0.3,0.7,53.0,Southampton
5,2017-09-16,Away,W,1,0,Crystal Palace,1.0,2.0,54.0,Southampton
6,2017-09-23,Home,L,0,1,Manchester Utd,1.0,1.2,60.0,Southampton
7,2017-09-30,Away,L,1,2,Stoke City,1.4,2.4,70.0,Southampton
8,2017-10-15,Home,D,2,2,Newcastle Utd,1.5,1.2,62.0,Southampton
9,2017-10-21,Home,W,1,0,West Brom,2.0,0.4,65.0,Southampton
10,2017-10-29,Away,D,1,1,Brighton,0.3,1.2,48.0,Southampton
11,2017-11-04,Home,L,0,1,Burnley,0.7,0.2,62.0,Southampton
12,2017-11-18,Away,L,0,3,Liverpool,0.4,2.0,39.0,Southampton
13,2017-11-26,Home,W,4,1,Everton,2.0,0.2,67.0,Southampton
14,2017-11-29,Away,L,1,2,Manchester City,1.3,1.4,26.0,Southampton
15,2017-12-03,Away,D,1,1,Bournemouth,1.5,0.9,51.0,Southampton
16,2017-12-10,Home,D,1,1,Arsenal,1.3,0.7,33.0,Southampton
17,2017-12-13,Home,L,1,4,Leicester City,1.5,1.8,53.0,Southampton
18,2017-12-16,Away,L,0,1,Chelsea,0.5,1.4,46.0,Southampton
19,2017-12-23,Home,D,1,1,Huddersfield,1.3,1.1,53.0,Southampton
20,2017-12-26,Away,L,2,5,Tottenham,0.8,3.0,43.0,Southampton
21,2017-12-30,Away,D,0,0,Manchester Utd,0.6,1.7,46.0,Southampton
22,2018-01-02,Home,L,1,2,Crystal Palace,0.4,1.3,60.0,Southampton
24,2018-01-13,Away,D,2,2,Watford,0.9,2.0,44.0,Southampton
25,2018-01-21,Home,D,1,1,Tottenham,0.8,1.2,41.0,Southampton
27,2018-01-31,Home,D,1,1,Brighton,1.4,1.1,66.0,Southampton
28,2018-02-03,Away,W,3,2,West Brom,0.9,0.8,61.0,Southampton
29,2018-02-11,Home,L,0,2,Liverpool,0.9,1.9,52.0,Southampton
31,2018-02-24,Away,D,1,1,Burnley,0.8,1.3,49.0,Southampton
32,2018-03-03,Home,D,0,0,Stoke City,0.9,0.8,65.0,Southampton
33,2018-03-10,Away,L,0,3,Newcastle Utd,0.3,1.3,63.0,Southampton
35,2018-03-31,Away,L,0,3,West Ham,0.5,1.4,51.0,Southampton
36,2018-04-08,Away,L,2,3,Arsenal,2.0,1.6,36.0,Southampton
37,2018-04-14,Home,L,2,3,Chelsea,1.0,0.8,42.0,Southampton
38,2018-04-19,Away,D,0,0,Leicester City,0.8,0.6,46.0,Southampton
40,2018-04-28,Home,W,2,1,Bournemouth,1.5,0.7,40.0,Southampton
41,2018-05-05,Away,D,1,1,Everton,0.7,0.5,46.0,Southampton
42,2018-05-08,Away,W,1,0,Swansea City,1.2,0.5,46.0,Southampton
43,2018-05-13,Home,L,0,1,Manchester City,0.5,0.8,31.0,Southampton
