,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2017-08-12,Away,L,0,1,Everton,0.4,0.6,40.0,Stoke City
1,2017-08-19,Home,W,1,0,Arsenal,0.7,1.5,24.0,Stoke City
3,2017-08-27,Away,D,1,1,West Brom,1.3,0.8,57.0,Stoke City
4,2017-09-09,Home,D,2,2,Manchester Utd,1.2,2.1,37.0,Stoke City
5,2017-09-16,Away,L,1,2,Newcastle Utd,0.7,2.0,58.0,Stoke City
7,2017-09-23,Home,L,0,4,Chelsea,0.8,1.4,45.0,Stoke City
8,2017-09-30,Home,W,2,1,Southampton,2.4,1.4,30.0,Stoke City
9,2017-10-14,Away,L,2,7,Manchester City,0.5,3.8,21.0,Stoke City
10,2017-10-21,Home,L,1,2,Bournemouth,1.2,1.1,53.0,Stoke City
11,2017-10-28,Away,W,1,0,Watford,1.1,1.2,31.0,Stoke City
12,2017-11-04,Home,D,2,2,Leicester City,1.0,1.5,47.0,Stoke City
13,2017-11-20,Away,D,2,2,Brighton,1.0,0.5,47.0,Stoke City
14,2017-11-25,Away,L,1,2,Crystal Palace,0.7,1.4,46.0,Stoke City
15,2017-11-29,Home,L,0,3,Liverpool,0.9,2.9,41.0,Stoke City
16,2017-12-02,Home,W,2,1,Swansea City,1.1,0.4,45.0,Stoke City
17,2017-12-09,Away,L,1,5,Tottenham,0.5,3.6,29.0,Stoke City
18,2017-12-12,Away,L,0,1,Burnley,1.1,0.4,49.0,Stoke City
19,2017-12-16,Home,L,0,3,West Ham,1.1,3.1,54.0,Stoke City
20,2017-12-23,Home,W,3,1,West Brom,1.4,2.0,43.0,Stoke City
21,2017-12-26,Away,D,1,1,Huddersfield,1.6,1.8,41.0,Stoke City
22,2017-12-30,Away,L,0,5,Chelsea,0.2,2.6,41.0,Stoke City
23,2018-01-01,Home,L,0,1,Newcastle Utd,1.5,1.7,59.0,Stoke City
25,2018-01-15,Away,L,0,3,Manchester Utd,1.3,1.5,40.0,Stoke City
26,2018-01-20,Home,W,2,0,Huddersfield,1.0,0.3,49.0,Stoke City
27,2018-01-31,Home,D,0,0,Watford,0.9,0.7,49.0,Stoke City
28,2018-02-03,Away,L,1,2,Bournemouth,0.7,1.7,43.0,Stoke City
29,2018-02-10,Home,D,1,1,Brighton,1.4,1.1,58.0,Stoke City
30,2018-02-24,Away,D,1,1,Leicester City,0.2,1.2,35.0,Stoke City
31,2018-03-03,Away,D,0,0,Southampton,0.8,0.9,35.0,Stoke City
32,2018-03-12,Home,L,0,2,Manchester City,0.4,1.6,24.0,Stoke City
33,2018-03-17,Home,L,1,2,Everton,0.8,2.3,43.0,Stoke City
34,2018-04-01,Away,L,0,3,Arsenal,0.4,3.3,31.0,Stoke City
35,2018-04-07,Home,L,1,2,Tottenham,1.4,1.7,35.0,Stoke City
36,2018-04-16,Away,D,1,1,West Ham,1.7,0.8,37.0,Stoke City
37,2018-04-22,Home,D,1,1,Burnley,0.4,1.6,44.0,Stoke City
38,2018-04-28,Away,D,0,0,Liverpool,0.6,1.9,29.0,Stoke City
39,2018-05-05,Home,L,1,2,Crystal Palace,0.5,1.1,41.0,Stoke City
40,2018-05-13,Away,W,2,1,Swansea City,1.6,3.0,43.0,Stoke City
