,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2017-08-12,Away,D,0,0,Southampton,0.3,2.0,40.0,Swansea City
1,2017-08-19,Home,L,0,4,Manchester Utd,0.4,3.0,42.0,Swansea City
3,2017-08-26,Away,W,2,0,Crystal Palace,0.7,0.9,47.0,Swansea City
4,2017-09-10,Home,L,0,1,Newcastle Utd,1.2,1.0,62.0,Swansea City
5,2017-09-16,Away,D,0,0,Tottenham,0.2,1.1,25.0,Swansea City
7,2017-09-23,Home,L,1,2,Watford,1.7,1.2,51.0,Swansea City
8,2017-09-30,Away,L,0,1,West Ham,0.2,0.7,56.0,Swansea City
9,2017-10-14,Home,W,2,0,Huddersfield,1.5,0.7,41.0,Swansea City
10,2017-10-21,Home,L,1,2,Leicester City,0.8,1.9,56.0,Swansea City
12,2017-10-28,Away,L,1,2,Arsenal,0.9,2.0,28.0,Swansea City
13,2017-11-04,Home,L,0,1,Brighton,1.3,0.9,56.0,Swansea City
14,2017-11-18,Away,L,0,2,Burnley,0.6,1.6,61.0,Swansea City
15,2017-11-25,Home,D,0,0,Bournemouth,0.9,0.4,49.0,Swansea City
16,2017-11-29,Away,L,0,1,Chelsea,0.1,1.5,39.0,Swansea City
17,2017-12-02,Away,L,1,2,Stoke City,0.4,1.1,55.0,Swansea City
18,2017-12-09,Home,W,1,0,West Brom,1.5,0.3,54.0,Swansea City
19,2017-12-13,Home,L,0,4,Manchester City,0.6,2.7,22.0,Swansea City
20,2017-12-18,Away,L,1,3,Everton,0.8,2.0,49.0,Swansea City
21,2017-12-23,Home,D,1,1,Crystal Palace,0.5,1.3,64.0,Swansea City
22,2017-12-26,Away,L,0,5,Liverpool,0.4,3.1,45.0,Swansea City
23,2017-12-30,Away,W,2,1,Watford,1.1,1.2,49.0,Swansea City
24,2018-01-02,Home,L,0,2,Tottenham,0.4,1.3,33.0,Swansea City
26,2018-01-13,Away,D,1,1,Newcastle Utd,1.3,1.4,58.0,Swansea City
28,2018-01-22,Home,W,1,0,Liverpool,0.2,2.5,29.0,Swansea City
30,2018-01-30,Home,W,3,1,Arsenal,2.1,1.3,26.0,Swansea City
31,2018-02-03,Away,D,1,1,Leicester City,0.3,1.7,40.0,Swansea City
33,2018-02-10,Home,W,1,0,Burnley,0.7,0.5,57.0,Swansea City
35,2018-02-24,Away,L,1,4,Brighton,0.6,3.0,53.0,Swansea City
37,2018-03-03,Home,W,4,1,West Ham,1.8,0.4,46.0,Swansea City
38,2018-03-10,Away,D,0,0,Huddersfield,0.0,1.4,20.0,Swansea City
40,2018-03-31,Away,L,0,2,Manchester Utd,0.2,2.2,34.0,Swansea City
41,2018-04-07,Away,D,1,1,West Brom,0.8,1.2,48.0,Swansea City
42,2018-04-14,Home,D,1,1,Everton,1.3,1.6,51.0,Swansea City
43,2018-04-22,Away,L,0,5,Manchester City,0.3,3.2,18.0,Swansea City
44,2018-04-28,Home,L,0,1,Chelsea,0.7,1.5,51.0,Swansea City
45,2018-05-05,Away,L,0,1,Bournemouth,1.3,1.9,55.0,Swansea City
46,2018-05-08,Home,L,0,1,Southampton,0.5,1.2,54.0,Swansea City
47,2018-05-13,Home,L,1,2,Stoke City,3.0,1.6,58.0,Swansea City
