,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2017-08-12,Home,D,3,3,Liverpool,2.1,2.6,46.0,Watford
1,2017-08-19,Away,W,2,0,Bournemouth,2.4,1.0,45.0,Watford
3,2017-08-26,Home,D,0,0,Brighton,0.3,1.1,43.0,Watford
4,2017-09-09,Away,W,2,0,Southampton,0.7,0.3,47.0,Watford
5,2017-09-16,Home,L,0,6,Manchester City,0.5,3.3,33.0,Watford
6,2017-09-23,Away,W,2,1,Swansea City,1.2,1.7,49.0,Watford
7,2017-09-30,Away,D,2,2,West Brom,1.4,1.9,65.0,Watford
8,2017-10-14,Home,W,2,1,Arsenal,1.6,1.0,46.0,Watford
9,2017-10-21,Away,L,2,4,Chelsea,1.9,1.9,48.0,Watford
10,2017-10-28,Home,L,0,1,Stoke City,1.2,1.1,69.0,Watford
11,2017-11-05,Away,L,2,3,Everton,2.0,2.1,62.0,Watford
12,2017-11-19,Home,W,2,0,West Ham,1.0,1.6,58.0,Watford
13,2017-11-25,Away,W,3,0,Newcastle Utd,2.0,0.9,47.0,Watford
14,2017-11-28,Home,L,2,4,Manchester Utd,1.4,1.2,59.0,Watford
15,2017-12-02,Home,D,1,1,Tottenham,0.4,0.8,50.0,Watford
16,2017-12-09,Away,L,0,1,Burnley,1.1,0.5,51.0,Watford
17,2017-12-12,Away,L,1,2,Crystal Palace,1.2,1.2,47.0,Watford
18,2017-12-16,Home,L,1,4,Huddersfield,0.6,3.4,60.0,Watford
19,2017-12-23,Away,L,0,1,Brighton,1.5,1.1,49.0,Watford
20,2017-12-26,Home,W,2,1,Leicester City,1.2,1.3,49.0,Watford
21,2017-12-30,Home,L,1,2,Swansea City,1.2,1.1,51.0,Watford
22,2018-01-02,Away,L,1,3,Manchester City,1.0,2.1,24.0,Watford
24,2018-01-13,Home,D,2,2,Southampton,2.0,0.9,56.0,Watford
25,2018-01-20,Away,L,0,2,Leicester City,0.9,1.9,46.0,Watford
27,2018-01-31,Away,D,0,0,Stoke City,0.7,0.9,51.0,Watford
28,2018-02-05,Home,W,4,1,Chelsea,2.3,0.7,45.0,Watford
29,2018-02-10,Away,L,0,2,West Ham,0.6,1.5,63.0,Watford
30,2018-02-24,Home,W,1,0,Everton,0.6,0.8,54.0,Watford
31,2018-03-03,Home,W,1,0,West Brom,1.3,1.1,53.0,Watford
32,2018-03-11,Away,L,0,3,Arsenal,1.4,2.2,41.0,Watford
33,2018-03-17,Away,L,0,5,Liverpool,0.4,2.3,42.0,Watford
34,2018-03-31,Home,D,2,2,Bournemouth,0.7,1.7,50.0,Watford
35,2018-04-07,Home,L,1,2,Burnley,1.2,1.0,60.0,Watford
36,2018-04-14,Away,L,0,1,Huddersfield,0.2,0.8,51.0,Watford
37,2018-04-21,Home,D,0,0,Crystal Palace,0.6,0.3,52.0,Watford
38,2018-04-30,Away,L,0,2,Tottenham,1.3,1.4,39.0,Watford
39,2018-05-05,Home,W,2,1,Newcastle Utd,2.5,0.7,39.0,Watford
40,2018-05-13,Away,L,0,1,Manchester Utd,0.6,0.4,48.0,Watford
