,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2017-08-12,Home,W,1,0,Bournemouth,1.3,0.5,31.0,West Brom
1,2017-08-19,Away,W,1,0,Burnley,0.9,1.3,34.0,West Brom
3,2017-08-27,Home,D,1,1,Stoke City,0.8,1.3,43.0,West Brom
4,2017-09-09,Away,L,1,3,Brighton,1.0,0.4,52.0,West Brom
5,2017-09-16,Home,D,0,0,West Ham,0.7,0.3,37.0,West Brom
7,2017-09-25,Away,L,0,2,Arsenal,0.9,2.2,31.0,West Brom
8,2017-09-30,Home,D,2,2,Watford,1.9,1.4,35.0,West Brom
9,2017-10-16,Away,D,1,1,Leicester City,0.2,1.3,43.0,West Brom
10,2017-10-21,Away,L,0,1,Southampton,0.4,2.0,35.0,West Brom
11,2017-10-28,Home,L,2,3,Manchester City,1.5,2.3,23.0,West Brom
12,2017-11-04,Away,L,0,1,Huddersfield,0.4,0.3,50.0,West Brom
13,2017-11-18,Home,L,0,4,Chelsea,0.8,1.6,39.0,West Brom
14,2017-11-25,Away,D,1,1,Tottenham,0.7,1.8,28.0,West Brom
15,2017-11-28,Home,D,2,2,Newcastle Utd,1.5,0.9,48.0,West Brom
16,2017-12-02,Home,D,0,0,Crystal Palace,1.9,0.6,51.0,West Brom
17,2017-12-09,Away,L,0,1,Swansea City,0.3,1.5,46.0,West Brom
18,2017-12-13,Away,D,0,0,Liverpool,0.4,2.1,30.0,West Brom
19,2017-12-17,Home,L,1,2,Manchester Utd,1.1,0.7,44.0,West Brom
20,2017-12-23,Away,L,1,3,Stoke City,2.0,1.4,57.0,West Brom
21,2017-12-26,Home,D,0,0,Everton,1.5,0.4,52.0,West Brom
22,2017-12-31,Home,D,1,1,Arsenal,1.5,0.9,35.0,West Brom
23,2018-01-02,Away,L,1,2,West Ham,1.0,1.3,47.0,West Brom
25,2018-01-13,Home,W,2,0,Brighton,1.0,0.6,44.0,West Brom
26,2018-01-20,Away,D,1,1,Everton,1.1,1.1,44.0,West Brom
28,2018-01-31,Away,L,0,3,Manchester City,0.2,2.3,27.0,West Brom
29,2018-02-03,Home,L,2,3,Southampton,0.8,0.9,39.0,West Brom
30,2018-02-12,Away,L,0,3,Chelsea,0.7,1.9,43.0,West Brom
32,2018-02-24,Home,L,1,2,Huddersfield,1.2,1.1,53.0,West Brom
33,2018-03-03,Away,L,0,1,Watford,1.1,1.3,47.0,West Brom
34,2018-03-10,Home,L,1,4,Leicester City,0.3,2.1,44.0,West Brom
35,2018-03-17,Away,L,1,2,Bournemouth,1.6,0.7,40.0,West Brom
36,2018-03-31,Home,L,1,2,Burnley,0.5,1.3,47.0,West Brom
37,2018-04-07,Home,D,1,1,Swansea City,1.2,0.8,52.0,West Brom
38,2018-04-15,Away,W,1,0,Manchester Utd,0.7,0.7,30.0,West Brom
39,2018-04-21,Home,D,2,2,Liverpool,1.3,1.3,39.0,West Brom
40,2018-04-28,Away,W,1,0,Newcastle Utd,0.7,1.8,38.0,West Brom
41,2018-05-05,Home,W,1,0,Tottenham,1.6,1.2,26.0,West Brom
42,2018-05-13,Away,L,0,2,Crystal Palace,0.2,2.2,41.0,West Brom
