,team,spi,off,def,date
0,Man City,90.1,3.1,0.5,2018-02-05
1,Liverpool,86.6,2.9,0.7,2018-02-05
2,Man United,79.1,2.3,0.7,2018-02-05
3,Tottenham,85.7,2.6,0.5,2018-02-05
4,Chelsea,80.4,2.4,0.7,2018-02-05
5,Arsenal,81.4,2.8,0.9,2018-02-05
6,Burnley,60.6,1.4,0.8,2018-02-05
7,Leicester,65.1,1.8,0.9,2018-02-05
8,Bournemouth,60.7,1.8,1.1,2018-02-05
9,Everton,56.5,1.6,1.1,2018-02-05
10,Watford,61.4,1.8,1.1,2018-02-05
11,Crystal Palace,63.0,1.7,1.0,2018-02-05
12,West Ham,56.4,1.7,1.2,2018-02-05
13,Southamon,59.9,1.7,1.1,2018-02-05
14,Brighton,51.6,1.3,1.1,2018-02-05
15,Swansea City,53.4,1.3,1.0,2018-02-05
16,Newcastle,53.7,1.5,1.1,2018-02-05
17,Stoke City,53.0,1.5,1.2,2018-02-05
18,Huddersfield,44.5,1.1,1.2,2018-02-05
19,West Brom,54.4,1.4,1.0,2018-02-05
