,team,spi,off,def,date
0,Man City,91.3,3.1,0.5,2018-05-02
1,Man United,79.4,2.3,0.7,2018-05-02
2,Tottenham,85.1,2.6,0.6,2018-05-02
3,Liverpool,87.6,2.9,0.6,2018-05-02
4,Chelsea,80.7,2.4,0.7,2018-05-02
5,Arsenal,80.6,2.8,0.9,2018-05-02
6,Burnley,61.8,1.5,0.8,2018-05-02
7,Everton,61.5,1.7,1.0,2018-05-02
8,Leicester,62.8,1.7,1.0,2018-05-02
9,Newcastle,58.9,1.5,1.0,2018-05-02
10,Crystal Palace,65.5,1.9,1.0,2018-05-02
11,Bournemouth,56.3,1.8,1.3,2018-05-02
12,Watford,57.0,1.6,1.1,2018-05-02
13,Brighton,54.1,1.4,1.1,2018-05-02
14,West Ham,53.4,1.6,1.3,2018-05-02
15,Swansea City,50.5,1.3,1.1,2018-05-02
16,Huddersfield,47.0,1.2,1.1,2018-05-02
17,Southamon,58.6,1.6,1.0,2018-05-02
18,Stoke City,52.5,1.4,1.1,2018-05-02
19,West Brom,54.9,1.5,1.1,2018-05-02
