,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
3,2018-08-12,Away,D,0,0,Southampton,1.4,1.1,52.0,Burnley
5,2018-08-19,Home,L,1,3,Watford,0.6,1.5,58.0,Burnley
7,2018-08-26,Away,L,2,4,Fulham,1.5,1.3,37.0,Burnley
9,2018-09-02,Home,L,0,2,Manchester Utd,0.8,2.5,47.0,Burnley
10,2018-09-16,Away,L,0,1,Wolves,0.3,2.6,41.0,Burnley
11,2018-09-22,Home,W,4,0,Bournemouth,2.1,1.0,38.0,Burnley
13,2018-09-30,Away,W,2,1,Cardiff City,0.3,1.7,46.0,Burnley
14,2018-10-06,Home,D,1,1,Huddersfield,0.4,1.0,33.0,Burnley
15,2018-10-20,Away,L,0,5,Manchester City,0.4,4.0,31.0,Burnley
16,2018-10-28,Home,L,0,4,Chelsea,0.4,2.6,31.0,Burnley
17,2018-11-03,Away,L,2,4,West Ham,1.1,2.4,37.0,Burnley
18,2018-11-10,Away,D,0,0,Leicester City,0.4,1.8,38.0,Burnley
19,2018-11-26,Home,L,1,2,Newcastle Utd,1.8,1.6,57.0,Burnley
20,2018-12-01,Away,L,0,2,Crystal Palace,0.7,1.6,42.0,Burnley
21,2018-12-05,Home,L,1,3,Liverpool,0.9,2.4,27.0,Burnley
22,2018-12-08,Home,W,1,0,Brighton,1.4,1.0,38.0,Burnley
23,2018-12-15,Away,L,0,1,Tottenham,0.5,1.7,30.0,Burnley
24,2018-12-22,Away,L,1,3,Arsenal,1.2,1.6,40.0,Burnley
25,2018-12-26,Home,L,1,5,Everton,2.0,1.5,49.0,Burnley
26,2018-12-30,Home,W,2,0,West Ham,2.7,0.8,43.0,Burnley
27,2019-01-02,Away,W,2,1,Huddersfield,2.4,0.9,57.0,Burnley
29,2019-01-12,Home,W,2,1,Fulham,0.8,0.8,42.0,Burnley
30,2019-01-19,Away,D,0,0,Watford,1.8,1.3,46.0,Burnley
32,2019-01-29,Away,D,2,2,Manchester Utd,0.8,3.1,27.0,Burnley
33,2019-02-02,Home,D,1,1,Southampton,2.4,0.7,55.0,Burnley
34,2019-02-09,Away,W,3,1,Brighton,2.1,1.1,32.0,Burnley
35,2019-02-23,Home,W,2,1,Tottenham,1.2,0.9,32.0,Burnley
36,2019-02-26,Away,L,0,2,Newcastle Utd,1.6,1.4,46.0,Burnley
37,2019-03-02,Home,L,1,3,Crystal Palace,2.1,0.5,57.0,Burnley
38,2019-03-10,Away,L,2,4,Liverpool,0.4,4.0,33.0,Burnley
39,2019-03-16,Home,L,1,2,Leicester City,1.0,0.9,62.0,Burnley
40,2019-03-30,Home,W,2,0,Wolves,0.5,0.5,38.0,Burnley
41,2019-04-06,Away,W,3,1,Bournemouth,1.2,1.1,41.0,Burnley
42,2019-04-13,Home,W,2,0,Cardiff City,2.6,0.9,47.0,Burnley
43,2019-04-22,Away,D,2,2,Chelsea,0.7,1.3,25.0,Burnley
44,2019-04-28,Home,L,0,1,Manchester City,0.1,2.5,31.0,Burnley
45,2019-05-03,Away,L,0,2,Everton,0.3,1.7,41.0,Burnley
46,2019-05-12,Home,L,1,3,Arsenal,1.7,2.7,40.0,Burnley
