,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2018-08-11,Away,L,0,2,Bournemouth,1.4,2.2,37.0,Cardiff City
1,2018-08-18,Home,D,0,0,Newcastle Utd,0.9,1.6,51.0,Cardiff City
2,2018-08-25,Away,D,0,0,Huddersfield,0.9,0.2,43.0,Cardiff City
4,2018-09-02,Home,L,2,3,Arsenal,1.0,1.7,28.0,Cardiff City
5,2018-09-15,Away,L,1,4,Chelsea,0.7,2.6,24.0,Cardiff City
6,2018-09-22,Home,L,0,5,Manchester City,0.1,2.5,22.0,Cardiff City
7,2018-09-30,Home,L,1,2,Burnley,1.7,0.3,54.0,Cardiff City
8,2018-10-06,Away,L,0,1,Tottenham,1.2,2.0,25.0,Cardiff City
9,2018-10-20,Home,W,4,2,Fulham,1.5,0.7,41.0,Cardiff City
10,2018-10-27,Away,L,1,4,Liverpool,0.8,2.4,22.0,Cardiff City
11,2018-11-03,Home,L,0,1,Leicester City,0.9,2.1,41.0,Cardiff City
12,2018-11-10,Home,W,2,1,Brighton,2.1,0.5,60.0,Cardiff City
13,2018-11-24,Away,L,0,1,Everton,1.0,2.1,30.0,Cardiff City
14,2018-11-30,Home,W,2,1,Wolves,1.0,0.8,48.0,Cardiff City
15,2018-12-04,Away,L,1,3,West Ham,2.1,1.7,40.0,Cardiff City
16,2018-12-08,Home,W,1,0,Southampton,1.5,0.7,37.0,Cardiff City
17,2018-12-15,Away,L,2,3,Watford,0.9,1.4,29.0,Cardiff City
18,2018-12-22,Home,L,1,5,Manchester Utd,1.4,2.8,27.0,Cardiff City
19,2018-12-26,Away,D,0,0,Crystal Palace,0.9,2.1,38.0,Cardiff City
20,2018-12-29,Away,W,1,0,Leicester City,0.6,1.8,38.0,Cardiff City
21,2019-01-01,Home,L,0,3,Tottenham,0.9,1.1,28.0,Cardiff City
23,2019-01-12,Home,D,0,0,Huddersfield,0.1,0.5,39.0,Cardiff City
24,2019-01-19,Away,L,0,3,Newcastle Utd,0.3,2.0,46.0,Cardiff City
25,2019-01-29,Away,L,1,2,Arsenal,0.8,2.6,30.0,Cardiff City
26,2019-02-02,Home,W,2,0,Bournemouth,2.1,0.5,27.0,Cardiff City
27,2019-02-09,Away,W,2,1,Southampton,0.8,1.5,34.0,Cardiff City
28,2019-02-22,Home,L,1,5,Watford,2.0,2.1,37.0,Cardiff City
29,2019-02-26,Home,L,0,3,Everton,0.3,1.0,34.0,Cardiff City
30,2019-03-02,Away,L,0,2,Wolves,0.6,2.8,44.0,Cardiff City
31,2019-03-09,Home,W,2,0,West Ham,3.5,0.3,30.0,Cardiff City
32,2019-03-31,Home,L,1,2,Chelsea,0.5,1.8,30.0,Cardiff City
33,2019-04-03,Away,L,0,2,Manchester City,0.1,3.2,21.0,Cardiff City
34,2019-04-13,Away,L,0,2,Burnley,0.9,2.6,53.0,Cardiff City
35,2019-04-16,Away,W,2,0,Brighton,0.9,0.6,36.0,Cardiff City
36,2019-04-21,Home,L,0,2,Liverpool,1.1,3.0,25.0,Cardiff City
37,2019-04-27,Away,L,0,1,Fulham,1.1,0.5,29.0,Cardiff City
38,2019-05-04,Home,L,2,3,Crystal Palace,1.9,1.6,40.0,Cardiff City
39,2019-05-12,Away,W,2,0,Manchester Utd,1.6,1.5,27.0,Cardiff City
