,team,spi,off,def,date
0,Man City,93.2,3.0,0.3,2018-09-23
1,Liverpool,90.8,2.8,0.3,2018-09-23
2,Chelsea,86.6,2.5,0.4,2018-09-23
3,Tottenham,84.7,2.5,0.5,2018-09-23
4,Arsenal,80.9,2.5,0.8,2018-09-23
5,Man United,81.1,2.3,0.6,2018-09-23
6,Watford,69.4,1.8,0.8,2018-09-23
7,Leicester,70.9,1.9,0.8,2018-09-23
8,Wolves,67.1,1.7,0.8,2018-09-23
9,Crystal Palace,68.4,1.8,0.8,2018-09-23
10,Bournemouth,64.0,1.9,1.1,2018-09-23
11,Southamon,66.8,1.8,0.9,2018-09-23
12,Everton,65.5,1.8,0.9,2018-09-23
13,Newcastle,67.4,1.7,0.8,2018-09-23
14,Brighton,63.8,1.7,0.9,2018-09-23
15,West Ham,63.7,1.8,1.0,2018-09-23
16,Fulham,62.1,1.8,1.1,2018-09-23
17,Burnley,61.7,1.7,1.0,2018-09-23
18,Cardiff City,57.8,1.5,1.0,2018-09-23
19,Huddersfield,58.6,1.5,0.9,2018-09-23
