,team,spi,off,def,date
0,Man City,94.4,3.0,0.2,2019-06-01
1,Liverpool,92.9,2.9,0.3,2019-06-01
2,Chelsea,85.4,2.4,0.5,2019-06-01
3,Tottenham,82.4,2.3,0.5,2019-06-01
4,Arsenal,77.4,2.4,0.8,2019-06-01
5,Man United,75.7,2.2,0.8,2019-06-01
6,Wolves,73.0,1.9,0.7,2019-06-01
7,Everton,78.1,2.0,0.6,2019-06-01
8,Leicester,74.4,1.9,0.7,2019-06-01
9,West Ham,66.6,1.9,1.0,2019-06-01
10,Watford,65.5,2.0,1.1,2019-06-01
11,Crystal Palace,70.1,2.0,0.9,2019-06-01
12,Newcastle,68.9,1.8,0.8,2019-06-01
13,Bournemouth,66.7,2.1,1.1,2019-06-01
14,Burnley,65.5,1.8,0.9,2019-06-01
15,Southamon,66.0,1.9,1.0,2019-06-01
16,Brighton,57.8,1.6,1.0,2019-06-01
17,Cardiff City,59.5,1.6,1.0,2019-06-01
18,Fulham,57.1,1.7,1.2,2019-06-01
19,Huddersfield,51.8,1.4,1.1,2019-06-01
