,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2019-08-10,Home,D,0,0,Everton,0.9,1.1,36.0,Crystal Palace
1,2019-08-18,Away,L,0,1,Sheffield Utd,0.3,2.2,57.0,Crystal Palace
2,2019-08-24,Away,W,2,1,Manchester Utd,1.1,2.5,29.0,Crystal Palace
4,2019-08-31,Home,W,1,0,Aston Villa,1.4,0.4,52.0,Crystal Palace
5,2019-09-14,Away,L,0,4,Tottenham,0.6,1.0,36.0,Crystal Palace
6,2019-09-22,Home,D,1,1,Wolves,0.9,1.5,51.0,Crystal Palace
7,2019-09-28,Home,W,2,0,Norwich City,1.5,0.7,45.0,Crystal Palace
8,2019-10-05,Away,W,2,1,West Ham,2.1,1.4,48.0,Crystal Palace
9,2019-10-19,Home,L,0,2,Manchester City,0.9,3.5,29.0,Crystal Palace
10,2019-10-27,Away,D,2,2,Arsenal,1.6,1.3,44.0,Crystal Palace
11,2019-11-03,Home,L,0,2,Leicester City,0.5,1.1,45.0,Crystal Palace
12,2019-11-09,Away,L,0,2,Chelsea,0.2,3.6,40.0,Crystal Palace
13,2019-11-23,Home,L,1,2,Liverpool,1.0,1.4,40.0,Crystal Palace
14,2019-11-30,Away,W,2,0,Burnley,0.7,1.9,56.0,Crystal Palace
15,2019-12-03,Home,W,1,0,Bournemouth,0.3,0.4,32.0,Crystal Palace
16,2019-12-07,Away,D,0,0,Watford,0.2,1.4,49.0,Crystal Palace
17,2019-12-16,Home,D,1,1,Brighton,0.7,2.3,35.0,Crystal Palace
18,2019-12-21,Away,L,0,1,Newcastle Utd,1.3,0.5,57.0,Crystal Palace
19,2019-12-26,Home,W,2,1,West Ham,2.7,0.9,58.0,Crystal Palace
20,2019-12-28,Away,D,1,1,Southampton,0.3,1.4,41.0,Crystal Palace
21,2020-01-01,Away,D,1,1,Norwich City,1.3,1.4,59.0,Crystal Palace
23,2020-01-11,Home,D,1,1,Arsenal,0.6,1.4,43.0,Crystal Palace
24,2020-01-18,Away,D,2,2,Manchester City,0.4,2.6,28.0,Crystal Palace
25,2020-01-21,Home,L,0,2,Southampton,0.6,1.1,45.0,Crystal Palace
26,2020-02-01,Home,L,0,1,Sheffield Utd,0.8,0.7,61.0,Crystal Palace
27,2020-02-08,Away,L,1,3,Everton,1.1,2.5,53.0,Crystal Palace
28,2020-02-22,Home,W,1,0,Newcastle Utd,1.6,0.2,45.0,Crystal Palace
29,2020-02-29,Away,W,1,0,Brighton,2.5,2.2,35.0,Crystal Palace
30,2020-03-07,Home,W,1,0,Watford,0.8,0.6,44.0,Crystal Palace
31,2020-06-20,Away,W,2,0,Bournemouth,0.8,0.5,42.0,Crystal Palace
32,2020-06-24,Away,L,0,4,Liverpool,0.1,2.4,27.0,Crystal Palace
33,2020-06-29,Home,L,0,1,Burnley,0.9,0.4,59.0,Crystal Palace
34,2020-07-04,Away,L,0,3,Leicester City,0.8,2.8,48.0,Crystal Palace
35,2020-07-07,Home,L,2,3,Chelsea,1.5,1.9,43.0,Crystal Palace
36,2020-07-12,Away,L,0,2,Aston Villa,1.2,1.7,55.0,Crystal Palace
37,2020-07-16,Home,L,0,2,Manchester Utd,0.6,2.2,41.0,Crystal Palace
38,2020-07-20,Away,L,0,2,Wolves,0.4,1.5,47.0,Crystal Palace
39,2020-07-26,Home,D,1,1,Tottenham,0.8,0.3,48.0,Crystal Palace
