,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2019-08-11,Home,W,4,0,Chelsea,2.2,1.0,46.0,Manchester Utd
1,2019-08-19,Away,D,1,1,Wolves,1.2,0.3,65.0,Manchester Utd
2,2019-08-24,Home,L,1,2,Crystal Palace,2.5,1.1,71.0,Manchester Utd
3,2019-08-31,Away,D,1,1,Southampton,1.5,0.9,59.0,Manchester Utd
4,2019-09-14,Home,W,1,0,Leicester City,1.2,0.6,42.0,Manchester Utd
6,2019-09-22,Away,L,0,2,West Ham,0.9,0.4,53.0,Manchester Utd
8,2019-09-30,Home,D,1,1,Arsenal,0.9,1.9,55.0,Manchester Utd
10,2019-10-06,Away,L,0,1,Newcastle Utd,0.9,0.8,68.0,Manchester Utd
11,2019-10-20,Home,D,1,1,Liverpool,0.7,1.2,34.0,Manchester Utd
13,2019-10-27,Away,W,3,1,Norwich City,4.2,1.0,54.0,Manchester Utd
15,2019-11-02,Away,L,0,1,Bournemouth,0.8,1.9,57.0,Manchester Utd
17,2019-11-10,Home,W,3,1,Brighton,3.6,0.8,42.0,Manchester Utd
18,2019-11-24,Away,D,3,3,Sheffield Utd,1.3,1.3,59.0,Manchester Utd
20,2019-12-01,Home,D,2,2,Aston Villa,1.7,1.2,62.0,Manchester Utd
21,2019-12-04,Home,W,2,1,Tottenham,1.4,0.9,47.0,Manchester Utd
22,2019-12-07,Away,W,2,1,Manchester City,1.4,2.2,28.0,Manchester Utd
24,2019-12-15,Home,D,1,1,Everton,1.4,0.3,66.0,Manchester Utd
26,2019-12-22,Away,L,0,2,Watford,1.8,1.5,63.0,Manchester Utd
27,2019-12-26,Home,W,4,1,Newcastle Utd,1.9,0.8,72.0,Manchester Utd
28,2019-12-28,Away,W,2,0,Burnley,2.2,0.5,61.0,Manchester Utd
29,2020-01-01,Away,L,0,2,Arsenal,0.7,1.5,51.0,Manchester Utd
32,2020-01-11,Home,W,4,0,Norwich City,2.9,0.3,60.0,Manchester Utd
34,2020-01-19,Away,L,0,2,Liverpool,1.3,1.9,47.0,Manchester Utd
35,2020-01-22,Home,L,0,2,Burnley,1.4,0.6,72.0,Manchester Utd
38,2020-02-01,Home,D,0,0,Wolves,1.0,1.3,64.0,Manchester Utd
39,2020-02-17,Away,W,2,0,Chelsea,0.6,0.9,39.0,Manchester Utd
41,2020-02-23,Home,W,3,0,Watford,2.4,0.3,57.0,Manchester Utd
43,2020-03-01,Away,D,1,1,Everton,1.1,2.1,56.0,Manchester Utd
45,2020-03-08,Home,W,2,0,Manchester City,1.6,0.6,28.0,Manchester Utd
47,2020-06-19,Away,D,1,1,Tottenham,1.7,0.4,61.0,Manchester Utd
48,2020-06-24,Home,W,3,0,Sheffield Utd,2.4,0.1,68.0,Manchester Utd
50,2020-06-30,Away,W,3,0,Brighton,1.0,0.4,62.0,Manchester Utd
51,2020-07-04,Home,W,5,2,Bournemouth,2.5,1.8,68.0,Manchester Utd
52,2020-07-09,Away,W,3,0,Aston Villa,2.3,0.5,66.0,Manchester Utd
53,2020-07-13,Home,D,2,2,Southampton,1.5,1.6,48.0,Manchester Utd
54,2020-07-16,Away,W,2,0,Crystal Palace,2.2,0.6,59.0,Manchester Utd
56,2020-07-22,Home,D,1,1,West Ham,0.6,1.5,57.0,Manchester Utd
57,2020-07-26,Away,W,2,0,Leicester City,1.3,0.8,54.0,Manchester Utd
