,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2019-08-10,Away,D,1,1,Bournemouth,1.3,1.3,47.0,Sheffield Utd
1,2019-08-18,Home,W,1,0,Crystal Palace,2.2,0.3,43.0,Sheffield Utd
2,2019-08-24,Home,L,1,2,Leicester City,0.3,0.8,49.0,Sheffield Utd
4,2019-08-31,Away,D,2,2,Chelsea,1.1,2.0,38.0,Sheffield Utd
5,2019-09-14,Home,L,0,1,Southampton,1.8,1.6,49.0,Sheffield Utd
6,2019-09-21,Away,W,2,0,Everton,0.5,1.0,31.0,Sheffield Utd
8,2019-09-28,Home,L,0,1,Liverpool,1.3,1.9,30.0,Sheffield Utd
9,2019-10-05,Away,D,0,0,Watford,0.4,1.4,60.0,Sheffield Utd
10,2019-10-21,Home,W,1,0,Arsenal,0.9,1.0,33.0,Sheffield Utd
11,2019-10-26,Away,D,1,1,West Ham,1.0,2.3,40.0,Sheffield Utd
12,2019-11-02,Home,W,3,0,Burnley,2.3,0.8,45.0,Sheffield Utd
13,2019-11-09,Away,D,1,1,Tottenham,0.9,1.8,39.0,Sheffield Utd
14,2019-11-24,Home,D,3,3,Manchester Utd,1.3,1.3,41.0,Sheffield Utd
15,2019-12-01,Away,D,1,1,Wolves,1.5,1.3,41.0,Sheffield Utd
16,2019-12-05,Home,L,0,2,Newcastle Utd,1.1,0.5,73.0,Sheffield Utd
17,2019-12-08,Away,W,2,1,Norwich City,0.8,0.7,42.0,Sheffield Utd
18,2019-12-14,Home,W,2,0,Aston Villa,1.7,1.1,56.0,Sheffield Utd
19,2019-12-21,Away,W,1,0,Brighton,1.3,0.5,31.0,Sheffield Utd
20,2019-12-26,Home,D,1,1,Watford,2.4,0.6,58.0,Sheffield Utd
21,2019-12-29,Away,L,0,2,Manchester City,1.1,1.1,28.0,Sheffield Utd
22,2020-01-02,Away,L,0,2,Liverpool,0.6,2.8,26.0,Sheffield Utd
24,2020-01-10,Home,W,1,0,West Ham,1.4,0.7,47.0,Sheffield Utd
25,2020-01-18,Away,D,1,1,Arsenal,0.8,1.4,39.0,Sheffield Utd
26,2020-01-21,Home,L,0,1,Manchester City,0.8,2.8,34.0,Sheffield Utd
28,2020-02-01,Away,W,1,0,Crystal Palace,0.7,0.8,39.0,Sheffield Utd
29,2020-02-09,Home,W,2,1,Bournemouth,1.9,1.4,55.0,Sheffield Utd
30,2020-02-22,Home,D,1,1,Brighton,1.6,1.2,65.0,Sheffield Utd
32,2020-03-07,Home,W,1,0,Norwich City,0.9,2.4,42.0,Sheffield Utd
33,2020-06-17,Away,D,0,0,Aston Villa,0.3,1.4,54.0,Sheffield Utd
34,2020-06-21,Away,L,0,3,Newcastle Utd,0.6,2.0,54.0,Sheffield Utd
35,2020-06-24,Away,L,0,3,Manchester Utd,0.1,2.4,32.0,Sheffield Utd
37,2020-07-02,Home,W,3,1,Tottenham,1.6,1.1,33.0,Sheffield Utd
38,2020-07-05,Away,D,1,1,Burnley,1.1,1.3,52.0,Sheffield Utd
39,2020-07-08,Home,W,1,0,Wolves,0.5,0.4,44.0,Sheffield Utd
40,2020-07-11,Home,W,3,0,Chelsea,2.3,1.2,24.0,Sheffield Utd
41,2020-07-16,Away,L,0,2,Leicester City,0.7,2.6,46.0,Sheffield Utd
42,2020-07-20,Home,L,0,1,Everton,0.5,0.4,51.0,Sheffield Utd
43,2020-07-26,Away,L,1,3,Southampton,1.4,1.7,28.0,Sheffield Utd
