,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,2,2,0,0,6,2,4,6,3.0,2019-08-17,LIV,2019
2,2,Arsenal,2,2,0,0,3,1,2,6,3.0,2019-08-17,ARS,2019
4,3,Manchester City,2,1,1,0,7,2,5,4,2.0,2019-08-17,MCI,2019
6,4,Manchester United,2,1,1,0,5,1,4,4,2.0,2019-08-19,MUN,2019
8,5,Brighton and Hove Albion,2,1,1,0,4,1,3,4,2.0,2019-08-17,BHA,2019
10,6,Tottenham Hotspur,2,1,1,0,5,3,2,4,2.0,2019-08-17,TOT,2019
12,7,Bournemouth,2,1,1,0,3,2,1,4,2.0,2019-08-17,BOU,2019
14,8,Sheffield United,2,1,1,0,2,1,1,4,2.0,2019-08-18,SHU,2019
16,9,Everton,2,1,1,0,1,0,1,4,2.0,2019-08-17,EVE,2019
18,10,Burnley,2,1,0,1,4,2,2,3,1.5,2019-08-17,BUR,2019
20,11,Norwich City,2,1,0,1,4,5,-1,3,1.5,2019-08-17,NOR,2019
22,12,Leicester City,2,0,2,0,1,1,0,2,1.0,2019-08-18,LEI,2019
24,13,Wolverhampton Wanderers,2,0,2,0,1,1,0,2,1.0,2019-08-19,WOL,2019
26,14,Crystal Palace,2,0,1,1,0,1,-1,1,0.5,2019-08-18,CRY,2019
28,15,Chelsea,2,0,1,1,1,5,-4,1,0.5,2019-08-18,CHE,2019
30,16,West Ham United,2,0,1,1,1,6,-5,1,0.5,2019-08-17,WHU,2019
32,17,Aston Villa,2,0,0,2,2,5,-3,0,0.0,2019-08-17,AVL,2019
34,18,Newcastle United,2,0,0,2,1,4,-3,0,0.0,2019-08-17,NEW,2019
36,19,Southampton,2,0,0,2,1,5,-4,0,0.0,2019-08-17,SOU,2019
38,20,Watford,2,0,0,2,0,4,-4,0,0.0,2019-08-17,WAT,2019
