,team,spi,off,def,date
0,Liverpool,92.9,2.9,0.3,2019-10-27
1,Man City,95.4,3.4,0.2,2019-10-27
2,Chelsea,85.8,2.5,0.5,2019-10-27
3,Leicester,81.3,2.2,0.5,2019-10-27
4,Arsenal,78.8,2.4,0.8,2019-10-27
5,Tottenham,81.4,2.4,0.7,2019-10-27
6,Man United,81.5,2.1,0.5,2019-10-27
7,Crystal Palace,71.3,1.9,0.8,2019-10-27
8,Everton,77.2,2.0,0.6,2019-10-27
9,Wolves,72.9,1.8,0.7,2019-10-27
10,Burnley,71.0,1.9,0.8,2019-10-27
11,Bournemouth,69.7,2.0,0.9,2019-10-27
12,West Ham,68.0,1.9,0.9,2019-10-27
13,Brighton,68.0,1.8,0.8,2019-10-27
14,Sheffield Utd,66.0,1.6,0.8,2019-10-27
15,Aston Villa,66.1,1.9,1.0,2019-10-27
16,Southamon,65.9,1.9,1.0,2019-10-27
17,Newcastle,65.5,1.7,0.8,2019-10-27
18,Watford,66.9,1.9,0.9,2019-10-27
19,Norwich,59.6,1.7,1.1,2019-10-27
