,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2020-09-14,Away,W,3,1,Brighton,1.2,1.1,48.0,Chelsea
1,2020-09-20,Home,L,0,2,Liverpool,0.9,2.1,39.0,Chelsea
3,2020-09-26,Away,D,3,3,West Brom,2.0,0.6,75.0,Chelsea
5,2020-10-03,Home,W,4,0,Crystal Palace,2.7,0.2,70.0,Chelsea
6,2020-10-17,Home,D,3,3,Southampton,1.8,1.9,53.0,Chelsea
8,2020-10-24,Away,D,0,0,Manchester Utd,0.2,0.6,49.0,Chelsea
10,2020-10-31,Away,W,3,0,Burnley,0.9,0.5,63.0,Chelsea
12,2020-11-07,Home,W,4,1,Sheffield Utd,2.2,0.4,69.0,Chelsea
13,2020-11-21,Away,W,2,0,Newcastle Utd,1.5,0.3,70.0,Chelsea
15,2020-11-29,Home,D,0,0,Tottenham,0.8,0.2,60.0,Chelsea
17,2020-12-05,Home,W,3,1,Leeds United,4.1,0.8,46.0,Chelsea
19,2020-12-12,Away,L,0,1,Everton,0.7,1.2,71.0,Chelsea
20,2020-12-15,Away,L,1,2,Wolves,1.0,0.5,55.0,Chelsea
21,2020-12-21,Home,W,3,0,West Ham,2.0,0.4,53.0,Chelsea
22,2020-12-26,Away,L,1,3,Arsenal,2.6,2.0,60.0,Chelsea
23,2020-12-28,Home,D,1,1,Aston Villa,1.7,0.7,63.0,Chelsea
24,2021-01-03,Home,L,1,3,Manchester City,0.8,2.7,54.0,Chelsea
26,2021-01-16,Away,W,1,0,Fulham,1.6,0.7,69.0,Chelsea
27,2021-01-19,Away,L,0,2,Leicester City,0.7,1.4,64.0,Chelsea
29,2021-01-27,Home,D,0,0,Wolves,0.7,0.5,78.0,Chelsea
30,2021-01-31,Home,W,2,0,Burnley,1.2,0.2,70.0,Chelsea
31,2021-02-04,Away,W,1,0,Tottenham,1.6,0.6,58.0,Chelsea
32,2021-02-07,Away,W,2,1,Sheffield Utd,1.6,0.6,68.0,Chelsea
34,2021-02-15,Home,W,2,0,Newcastle Utd,2.2,0.6,64.0,Chelsea
35,2021-02-20,Away,D,1,1,Southampton,1.2,0.6,70.0,Chelsea
37,2021-02-28,Home,D,0,0,Manchester Utd,1.1,0.4,57.0,Chelsea
38,2021-03-04,Away,W,1,0,Liverpool,1.0,0.3,46.0,Chelsea
39,2021-03-08,Home,W,2,0,Everton,2.4,0.3,65.0,Chelsea
40,2021-03-13,Away,D,0,0,Leeds United,1.0,0.4,62.0,Chelsea
43,2021-04-03,Home,L,2,5,West Brom,2.1,1.6,65.0,Chelsea
45,2021-04-10,Away,W,4,1,Crystal Palace,3.1,0.4,64.0,Chelsea
48,2021-04-20,Home,D,0,0,Brighton,0.7,0.5,64.0,Chelsea
49,2021-04-24,Away,W,1,0,West Ham,2.5,0.4,55.0,Chelsea
51,2021-05-01,Home,W,2,0,Fulham,1.7,0.3,49.0,Chelsea
53,2021-05-08,Away,W,2,1,Manchester City,0.7,1.8,52.0,Chelsea
54,2021-05-12,Home,L,0,1,Arsenal,1.8,0.6,67.0,Chelsea
56,2021-05-18,Home,W,2,1,Leicester City,3.1,0.8,58.0,Chelsea
57,2021-05-23,Away,L,1,2,Aston Villa,3.3,1.1,71.0,Chelsea
