,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2020-09-12,Home,L,0,3,Arsenal,0.1,1.9,46.0,Fulham
2,2020-09-19,Away,L,3,4,Leeds United,1.7,1.4,49.0,Fulham
4,2020-09-28,Home,L,0,3,Aston Villa,0.7,1.4,64.0,Fulham
6,2020-10-04,Away,L,0,1,Wolves,0.9,1.2,52.0,Fulham
7,2020-10-18,Away,D,1,1,Sheffield Utd,1.5,1.7,58.0,Fulham
8,2020-10-24,Home,L,1,2,Crystal Palace,1.1,2.5,64.0,Fulham
9,2020-11-02,Home,W,2,0,West Brom,1.5,0.5,47.0,Fulham
10,2020-11-07,Away,L,0,1,West Ham,1.7,1.3,47.0,Fulham
11,2020-11-22,Home,L,2,3,Everton,1.9,2.0,54.0,Fulham
12,2020-11-30,Away,W,2,1,Leicester City,2.2,1.2,32.0,Fulham
13,2020-12-05,Away,L,0,2,Manchester City,0.3,2.9,31.0,Fulham
14,2020-12-13,Home,D,1,1,Liverpool,1.5,1.8,26.0,Fulham
15,2020-12-16,Home,D,0,0,Brighton,1.0,0.5,46.0,Fulham
16,2020-12-19,Away,D,1,1,Newcastle Utd,1.0,1.4,51.0,Fulham
17,2020-12-26,Home,D,0,0,Southampton,0.7,0.2,47.0,Fulham
19,2021-01-13,Away,D,1,1,Tottenham,1.1,2.4,47.0,Fulham
20,2021-01-16,Home,L,0,1,Chelsea,0.7,1.6,31.0,Fulham
21,2021-01-20,Home,L,1,2,Manchester Utd,0.9,1.7,38.0,Fulham
23,2021-01-27,Away,D,0,0,Brighton,0.5,1.8,50.0,Fulham
24,2021-01-30,Away,D,2,2,West Brom,1.3,1.0,62.0,Fulham
25,2021-02-03,Home,L,0,2,Leicester City,0.6,1.4,57.0,Fulham
26,2021-02-06,Home,D,0,0,West Ham,1.5,1.0,60.0,Fulham
27,2021-02-14,Away,W,2,0,Everton,2.5,0.3,50.0,Fulham
28,2021-02-17,Away,D,1,1,Burnley,0.5,0.9,53.0,Fulham
29,2021-02-20,Home,W,1,0,Sheffield Utd,1.2,0.9,64.0,Fulham
30,2021-02-28,Away,D,0,0,Crystal Palace,1.4,0.1,60.0,Fulham
31,2021-03-04,Home,L,0,1,Tottenham,0.7,1.6,60.0,Fulham
32,2021-03-07,Away,W,1,0,Liverpool,1.3,0.9,37.0,Fulham
33,2021-03-13,Home,L,0,3,Manchester City,0.3,2.2,46.0,Fulham
34,2021-03-19,Home,L,1,2,Leeds United,1.6,1.3,51.0,Fulham
35,2021-04-04,Away,L,1,3,Aston Villa,1.0,1.5,47.0,Fulham
36,2021-04-09,Home,L,0,1,Wolves,0.9,0.5,50.0,Fulham
37,2021-04-18,Away,D,1,1,Arsenal,0.9,2.7,31.0,Fulham
38,2021-05-01,Away,L,0,2,Chelsea,0.3,1.7,51.0,Fulham
39,2021-05-10,Home,L,0,2,Burnley,1.0,1.5,68.0,Fulham
40,2021-05-15,Away,L,1,3,Southampton,0.8,1.6,53.0,Fulham
41,2021-05-18,Away,D,1,1,Manchester Utd,0.9,0.9,43.0,Fulham
42,2021-05-23,Home,L,0,2,Newcastle Utd,1.0,1.3,64.0,Fulham
