,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2020-09-12,Away,L,3,4,Liverpool,0.3,2.7,51.0,Leeds United
2,2020-09-19,Home,W,4,3,Fulham,1.4,1.7,51.0,Leeds United
3,2020-09-27,Away,W,1,0,Sheffield Utd,1.2,1.4,64.0,Leeds United
4,2020-10-03,Home,D,1,1,Manchester City,2.4,1.2,51.0,Leeds United
5,2020-10-19,Home,L,0,1,Wolves,1.0,0.4,66.0,Leeds United
6,2020-10-23,Away,W,3,0,Aston Villa,2.7,1.4,59.0,Leeds United
7,2020-11-02,Home,L,1,4,Leicester City,2.1,2.9,67.0,Leeds United
8,2020-11-07,Away,L,1,4,Crystal Palace,0.8,0.9,64.0,Leeds United
9,2020-11-22,Home,D,0,0,Arsenal,1.8,0.9,66.0,Leeds United
10,2020-11-28,Away,W,1,0,Everton,2.9,1.2,59.0,Leeds United
11,2020-12-05,Away,L,1,3,Chelsea,0.8,4.1,54.0,Leeds United
12,2020-12-11,Home,L,1,2,West Ham,1.6,1.3,63.0,Leeds United
13,2020-12-16,Home,W,5,2,Newcastle Utd,2.7,1.5,68.0,Leeds United
14,2020-12-20,Away,L,2,6,Manchester Utd,1.8,3.6,59.0,Leeds United
15,2020-12-27,Home,W,1,0,Burnley,1.9,1.5,51.0,Leeds United
16,2020-12-29,Away,W,5,0,West Brom,1.2,0.5,75.0,Leeds United
17,2021-01-02,Away,L,0,3,Tottenham,1.1,2.6,63.0,Leeds United
19,2021-01-16,Home,L,0,1,Brighton,0.3,1.4,66.0,Leeds United
20,2021-01-26,Away,W,2,1,Newcastle Utd,0.7,1.4,58.0,Leeds United
21,2021-01-31,Away,W,3,1,Leicester City,2.1,1.8,49.0,Leeds United
22,2021-02-03,Home,L,1,2,Everton,1.3,1.6,63.0,Leeds United
23,2021-02-08,Home,W,2,0,Crystal Palace,1.9,0.4,67.0,Leeds United
24,2021-02-14,Away,L,2,4,Arsenal,0.9,2.3,54.0,Leeds United
25,2021-02-19,Away,L,0,1,Wolves,1.7,0.6,58.0,Leeds United
26,2021-02-23,Home,W,3,0,Southampton,1.3,0.9,46.0,Leeds United
27,2021-02-27,Home,L,0,1,Aston Villa,0.9,0.7,69.0,Leeds United
28,2021-03-08,Away,L,0,2,West Ham,1.4,1.8,65.0,Leeds United
29,2021-03-13,Home,D,0,0,Chelsea,0.4,1.0,38.0,Leeds United
30,2021-03-19,Away,W,2,1,Fulham,1.3,1.6,49.0,Leeds United
31,2021-04-03,Home,W,2,1,Sheffield Utd,2.4,1.1,54.0,Leeds United
32,2021-04-10,Away,W,2,1,Manchester City,0.1,2.1,29.0,Leeds United
33,2021-04-19,Home,D,1,1,Liverpool,2.3,1.4,61.0,Leeds United
34,2021-04-25,Home,D,0,0,Manchester Utd,0.3,1.2,44.0,Leeds United
35,2021-05-01,Away,L,0,2,Brighton,0.6,2.3,58.0,Leeds United
36,2021-05-08,Home,W,3,1,Tottenham,2.5,0.9,53.0,Leeds United
37,2021-05-15,Away,W,4,0,Burnley,1.5,1.3,52.0,Leeds United
38,2021-05-18,Away,W,2,0,Southampton,1.7,1.6,49.0,Leeds United
39,2021-05-23,Home,W,3,1,West Brom,2.3,1.0,64.0,Leeds United
