,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2020-09-13,Away,W,3,0,West Brom,2.8,0.4,64.0,Leicester City
1,2020-09-20,Home,W,4,2,Burnley,1.2,1.4,67.0,Leicester City
3,2020-09-27,Away,W,5,2,Manchester City,2.9,0.9,28.0,Leicester City
4,2020-10-04,Home,L,0,3,West Ham,0.6,2.0,69.0,Leicester City
5,2020-10-18,Home,L,0,1,Aston Villa,0.6,0.7,50.0,Leicester City
7,2020-10-25,Away,W,1,0,Arsenal,0.7,0.7,44.0,Leicester City
9,2020-11-02,Away,W,4,1,Leeds United,2.9,2.1,33.0,Leicester City
11,2020-11-08,Home,W,1,0,Wolves,2.0,0.8,49.0,Leicester City
12,2020-11-22,Away,L,0,3,Liverpool,1.6,3.1,44.0,Leicester City
14,2020-11-30,Home,L,1,2,Fulham,1.2,2.2,68.0,Leicester City
16,2020-12-06,Away,W,2,1,Sheffield Utd,1.4,0.2,69.0,Leicester City
18,2020-12-13,Home,W,3,0,Brighton,1.5,0.9,54.0,Leicester City
19,2020-12-16,Home,L,0,2,Everton,0.8,1.4,61.0,Leicester City
20,2020-12-20,Away,W,2,0,Tottenham,1.7,0.7,44.0,Leicester City
21,2020-12-26,Home,D,2,2,Manchester Utd,0.9,1.7,54.0,Leicester City
22,2020-12-28,Away,D,1,1,Crystal Palace,1.9,0.5,66.0,Leicester City
23,2021-01-03,Away,W,2,1,Newcastle Utd,0.6,0.5,56.0,Leicester City
25,2021-01-16,Home,W,2,0,Southampton,2.2,0.6,47.0,Leicester City
26,2021-01-19,Home,W,2,0,Chelsea,1.4,0.7,36.0,Leicester City
28,2021-01-27,Away,D,1,1,Everton,1.2,0.5,65.0,Leicester City
29,2021-01-31,Home,L,1,3,Leeds United,1.8,2.1,51.0,Leicester City
30,2021-02-03,Away,W,2,0,Fulham,1.4,0.6,43.0,Leicester City
31,2021-02-07,Away,D,0,0,Wolves,0.8,1.1,56.0,Leicester City
33,2021-02-13,Home,W,3,1,Liverpool,1.9,1.7,38.0,Leicester City
35,2021-02-21,Away,W,2,1,Aston Villa,1.1,1.4,49.0,Leicester City
37,2021-02-28,Home,L,1,3,Arsenal,0.4,2.3,44.0,Leicester City
38,2021-03-03,Away,D,1,1,Burnley,1.2,1.8,61.0,Leicester City
39,2021-03-06,Away,W,2,1,Brighton,0.9,0.8,63.0,Leicester City
40,2021-03-14,Home,W,5,0,Sheffield Utd,4.0,0.1,71.0,Leicester City
42,2021-04-03,Home,L,0,2,Manchester City,0.3,1.4,44.0,Leicester City
43,2021-04-11,Away,L,2,3,West Ham,0.9,0.8,63.0,Leicester City
45,2021-04-22,Home,W,3,0,West Brom,2.1,0.5,72.0,Leicester City
46,2021-04-26,Home,W,2,1,Crystal Palace,1.5,0.7,66.0,Leicester City
47,2021-04-30,Away,D,1,1,Southampton,1.9,0.9,70.0,Leicester City
48,2021-05-07,Home,L,2,4,Newcastle Utd,2.2,2.7,68.0,Leicester City
49,2021-05-11,Away,W,2,1,Manchester Utd,0.9,0.2,47.0,Leicester City
51,2021-05-18,Away,L,1,2,Chelsea,0.8,3.1,42.0,Leicester City
52,2021-05-23,Home,L,2,4,Tottenham,1.9,1.5,47.0,Leicester City
