,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2020-09-13,Home,L,0,1,Everton,1.1,1.2,52.0,Tottenham
2,2020-09-20,Away,W,5,2,Southampton,2.1,2.0,49.0,Tottenham
5,2020-09-27,Home,D,1,1,Newcastle Utd,2.9,1.0,66.0,Tottenham
8,2020-10-04,Away,W,6,1,Manchester Utd,3.4,0.9,61.0,Tottenham
9,2020-10-18,Home,D,3,3,West Ham,1.7,1.9,50.0,Tottenham
11,2020-10-26,Away,W,1,0,Burnley,0.6,1.0,61.0,Tottenham
13,2020-11-01,Home,W,2,1,Brighton,1.7,0.3,44.0,Tottenham
15,2020-11-08,Away,W,1,0,West Brom,1.9,0.8,58.0,Tottenham
16,2020-11-21,Home,W,2,0,Manchester City,0.7,1.4,34.0,Tottenham
18,2020-11-29,Away,D,0,0,Chelsea,0.2,0.8,40.0,Tottenham
20,2020-12-06,Home,W,2,0,Arsenal,0.3,0.6,31.0,Tottenham
22,2020-12-13,Away,D,1,1,Crystal Palace,0.9,1.6,56.0,Tottenham
23,2020-12-16,Away,L,1,2,Liverpool,1.1,1.0,25.0,Tottenham
24,2020-12-20,Home,L,0,2,Leicester City,0.7,1.7,56.0,Tottenham
26,2020-12-27,Away,D,1,1,Wolves,0.4,0.9,45.0,Tottenham
27,2021-01-02,Home,W,3,0,Leeds United,2.6,1.1,37.0,Tottenham
30,2021-01-13,Home,D,1,1,Fulham,2.4,1.1,53.0,Tottenham
31,2021-01-17,Away,W,3,1,Sheffield Utd,1.0,0.9,57.0,Tottenham
33,2021-01-28,Home,L,1,3,Liverpool,0.1,2.5,50.0,Tottenham
34,2021-01-31,Away,L,0,1,Brighton,0.4,1.6,57.0,Tottenham
35,2021-02-04,Home,L,0,1,Chelsea,0.6,1.6,43.0,Tottenham
36,2021-02-07,Home,W,2,0,West Brom,1.5,0.6,65.0,Tottenham
38,2021-02-13,Away,L,0,3,Manchester City,0.3,2.2,40.0,Tottenham
40,2021-02-21,Away,L,1,2,West Ham,1.1,1.1,68.0,Tottenham
42,2021-02-28,Home,W,4,0,Burnley,2.1,0.7,58.0,Tottenham
43,2021-03-04,Away,W,1,0,Fulham,1.6,0.7,40.0,Tottenham
44,2021-03-07,Home,W,4,1,Crystal Palace,2.7,0.5,63.0,Tottenham
46,2021-03-14,Away,L,1,2,Arsenal,0.4,1.7,48.0,Tottenham
48,2021-03-21,Away,W,2,0,Aston Villa,1.8,0.4,50.0,Tottenham
49,2021-04-04,Away,D,2,2,Newcastle Utd,2.7,3.4,58.0,Tottenham
50,2021-04-11,Home,L,1,3,Manchester Utd,0.9,2.1,47.0,Tottenham
51,2021-04-16,Away,D,2,2,Everton,1.4,1.8,47.0,Tottenham
52,2021-04-21,Home,W,2,1,Southampton,1.4,0.8,62.0,Tottenham
54,2021-05-02,Home,W,4,0,Sheffield Utd,2.2,0.5,66.0,Tottenham
55,2021-05-08,Away,L,1,3,Leeds United,0.9,2.5,47.0,Tottenham
56,2021-05-16,Home,W,2,0,Wolves,3.2,0.9,62.0,Tottenham
57,2021-05-19,Home,L,1,2,Aston Villa,0.8,1.4,60.0,Tottenham
58,2021-05-23,Away,W,4,2,Leicester City,1.5,1.9,53.0,Tottenham
