,team,spi,off,def,date
0,Man City,93.7,2.9,0.2,2021-04-14
1,Man United,88.5,2.5,0.3,2021-04-14
2,Leicester,78.8,2.0,0.6,2021-04-14
3,Liverpool,89.2,2.6,0.4,2021-04-14
4,West Ham,76.1,2.2,0.7,2021-04-14
5,Chelsea,87.3,2.3,0.3,2021-04-14
6,Tottenham,77.9,2.2,0.7,2021-04-14
7,Everton,71.7,1.9,0.7,2021-04-14
8,Arsenal,82.3,2.2,0.5,2021-04-14
9,Aston Villa,73.8,2.0,0.7,2021-04-14
10,Leeds United,72.0,2.1,0.9,2021-04-14
11,Wolves,73.2,1.8,0.6,2021-04-14
12,Southamon,67.9,1.9,0.9,2021-04-14
13,Crystal Palace,58.7,1.6,1.0,2021-04-14
14,Brighton,78.3,2.0,0.5,2021-04-14
15,Burnley,66.1,1.7,0.9,2021-04-14
16,Newcastle,63.8,1.7,0.9,2021-04-14
17,Fulham,70.4,1.7,0.7,2021-04-14
18,West Brom,61.3,1.7,1.0,2021-04-14
19,Sheffield Utd,56.9,1.5,1.0,2021-04-14
