,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2021-08-14,Away,L,2,3,Watford,1.2,1.2,62.0,Aston Villa
1,2021-08-21,Home,W,2,0,Newcastle Utd,1.2,0.7,47.0,Aston Villa
3,2021-08-28,Home,D,1,1,Brentford,0.7,0.9,46.0,Aston Villa
4,2021-09-11,Away,L,0,3,Chelsea,1.2,1.3,43.0,Aston Villa
5,2021-09-18,Home,W,3,0,Everton,0.8,0.7,55.0,Aston Villa
7,2021-09-25,Away,W,1,0,Manchester Utd,1.0,2.2,41.0,Aston Villa
8,2021-10-03,Away,L,1,2,Tottenham,1.2,1.3,44.0,Aston Villa
9,2021-10-16,Home,L,2,3,Wolves,1.0,2.0,48.0,Aston Villa
10,2021-10-22,Away,L,1,3,Arsenal,1.4,2.7,47.0,Aston Villa
11,2021-10-31,Home,L,1,4,West Ham,0.7,2.3,43.0,Aston Villa
12,2021-11-05,Away,L,0,1,Southampton,0.6,0.6,44.0,Aston Villa
13,2021-11-20,Home,W,2,0,Brighton,0.7,0.4,38.0,Aston Villa
14,2021-11-27,Away,W,2,1,Crystal Palace,0.5,1.0,36.0,Aston Villa
15,2021-12-01,Home,L,1,2,Manchester City,0.8,1.0,36.0,Aston Villa
16,2021-12-05,Home,W,2,1,Leicester City,2.1,1.1,41.0,Aston Villa
17,2021-12-11,Away,L,0,1,Liverpool,0.2,2.2,38.0,Aston Villa
18,2021-12-14,Away,W,2,0,Norwich City,2.0,0.5,50.0,Aston Villa
19,2021-12-26,Home,L,1,3,Chelsea,0.4,2.6,42.0,Aston Villa
20,2022-01-02,Away,L,1,2,Brentford,0.8,0.6,55.0,Aston Villa
22,2022-01-15,Home,D,2,2,Manchester Utd,1.9,1.0,54.0,Aston Villa
23,2022-01-22,Away,W,1,0,Everton,0.8,1.6,50.0,Aston Villa
24,2022-02-09,Home,D,3,3,Leeds United,1.6,1.8,40.0,Aston Villa
25,2022-02-13,Away,L,0,1,Newcastle Utd,0.6,0.5,62.0,Aston Villa
26,2022-02-19,Home,L,0,1,Watford,1.3,1.2,59.0,Aston Villa
27,2022-02-26,Away,W,2,0,Brighton,1.0,0.7,34.0,Aston Villa
28,2022-03-05,Home,W,4,0,Southampton,2.5,1.1,38.0,Aston Villa
29,2022-03-10,Away,W,3,0,Leeds United,1.5,0.2,49.0,Aston Villa
30,2022-03-13,Away,L,1,2,West Ham,1.1,1.2,53.0,Aston Villa
31,2022-03-19,Home,L,0,1,Arsenal,0.5,1.3,47.0,Aston Villa
32,2022-04-02,Away,L,1,2,Wolves,2.1,1.3,51.0,Aston Villa
33,2022-04-09,Home,L,0,4,Tottenham,1.6,1.1,52.0,Aston Villa
34,2022-04-23,Away,D,0,0,Leicester City,0.9,0.3,36.0,Aston Villa
35,2022-04-30,Home,W,2,0,Norwich City,1.8,0.5,45.0,Aston Villa
36,2022-05-07,Away,W,3,1,Burnley,2.1,1.9,51.0,Aston Villa
37,2022-05-10,Home,L,1,2,Liverpool,1.4,1.8,40.0,Aston Villa
38,2022-05-15,Home,D,1,1,Crystal Palace,1.0,1.4,49.0,Aston Villa
39,2022-05-19,Home,D,1,1,Burnley,1.5,1.6,71.0,Aston Villa
40,2022-05-22,Away,L,2,3,Manchester City,0.2,3.4,29.0,Aston Villa
