,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2021-08-13,Home,W,2,0,Arsenal,1.2,1.3,36.0,Brentford
1,2021-08-21,Away,D,0,0,Crystal Palace,0.9,0.5,47.0,Brentford
3,2021-08-28,Away,D,1,1,Aston Villa,0.9,0.7,54.0,Brentford
4,2021-09-11,Home,L,0,1,Brighton,0.4,0.3,41.0,Brentford
5,2021-09-18,Away,W,2,0,Wolves,2.5,0.6,38.0,Brentford
7,2021-09-25,Home,D,3,3,Liverpool,2.1,2.8,33.0,Brentford
8,2021-10-03,Away,W,2,1,West Ham,1.2,1.5,41.0,Brentford
9,2021-10-16,Home,L,0,1,Chelsea,1.4,0.3,45.0,Brentford
10,2021-10-24,Home,L,1,2,Leicester City,1.0,1.5,54.0,Brentford
12,2021-10-30,Away,L,1,3,Burnley,0.8,2.3,59.0,Brentford
13,2021-11-06,Home,L,1,2,Norwich City,2.5,1.2,64.0,Brentford
14,2021-11-20,Away,D,3,3,Newcastle Utd,0.9,1.5,47.0,Brentford
15,2021-11-28,Home,W,1,0,Everton,1.2,1.0,40.0,Brentford
16,2021-12-02,Away,L,0,2,Tottenham,0.3,1.9,53.0,Brentford
17,2021-12-05,Away,D,2,2,Leeds United,1.0,1.2,37.0,Brentford
18,2021-12-10,Home,W,2,1,Watford,1.6,0.5,63.0,Brentford
20,2021-12-26,Away,L,0,2,Brighton,0.7,0.8,50.0,Brentford
21,2021-12-29,Home,L,0,1,Manchester City,0.4,1.1,24.0,Brentford
22,2022-01-02,Home,W,2,1,Aston Villa,0.6,0.8,45.0,Brentford
24,2022-01-11,Away,L,1,4,Southampton,0.5,1.4,52.0,Brentford
25,2022-01-16,Away,L,0,3,Liverpool,0.7,2.7,32.0,Brentford
26,2022-01-19,Home,L,1,3,Manchester Utd,2.3,2.3,44.0,Brentford
27,2022-01-22,Home,L,1,2,Wolves,1.1,0.2,50.0,Brentford
29,2022-02-09,Away,L,0,2,Manchester City,0.4,1.9,26.0,Brentford
30,2022-02-12,Home,D,0,0,Crystal Palace,1.6,0.3,42.0,Brentford
31,2022-02-19,Away,L,1,2,Arsenal,0.6,1.7,34.0,Brentford
32,2022-02-26,Home,L,0,2,Newcastle Utd,0.4,2.7,37.0,Brentford
33,2022-03-05,Away,W,3,1,Norwich City,2.0,1.0,40.0,Brentford
34,2022-03-12,Home,W,2,0,Burnley,1.9,0.7,55.0,Brentford
35,2022-03-20,Away,L,1,2,Leicester City,1.3,1.0,48.0,Brentford
36,2022-04-02,Away,W,4,1,Chelsea,1.8,1.3,30.0,Brentford
37,2022-04-10,Home,W,2,0,West Ham,1.4,0.3,47.0,Brentford
38,2022-04-16,Away,W,2,1,Watford,1.9,1.7,50.0,Brentford
39,2022-04-23,Home,D,0,0,Tottenham,0.9,0.6,44.0,Brentford
40,2022-05-02,Away,L,0,3,Manchester Utd,0.6,2.0,37.0,Brentford
41,2022-05-07,Home,W,3,0,Southampton,2.6,1.4,41.0,Brentford
42,2022-05-15,Away,W,3,2,Everton,1.4,2.1,72.0,Brentford
43,2022-05-22,Home,L,1,2,Leeds United,0.8,1.3,49.0,Brentford
