,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2021-08-15,Home,L,2,4,West Ham,1.8,2.7,46.0,Newcastle Utd
1,2021-08-21,Away,L,0,2,Aston Villa,0.7,1.2,53.0,Newcastle Utd
3,2021-08-28,Home,D,2,2,Southampton,1.0,3.6,37.0,Newcastle Utd
4,2021-09-11,Away,L,1,4,Manchester Utd,0.4,2.5,37.0,Newcastle Utd
5,2021-09-17,Home,D,1,1,Leeds United,1.3,1.5,35.0,Newcastle Utd
6,2021-09-25,Away,D,1,1,Watford,1.9,0.9,47.0,Newcastle Utd
7,2021-10-02,Away,L,1,2,Wolves,0.6,1.0,48.0,Newcastle Utd
8,2021-10-17,Home,L,2,3,Tottenham,0.4,1.7,36.0,Newcastle Utd
9,2021-10-23,Away,D,1,1,Crystal Palace,0.3,1.9,26.0,Newcastle Utd
10,2021-10-30,Home,L,0,3,Chelsea,0.2,2.2,21.0,Newcastle Utd
11,2021-11-06,Away,D,1,1,Brighton,0.3,1.5,35.0,Newcastle Utd
12,2021-11-20,Home,D,3,3,Brentford,1.5,0.9,53.0,Newcastle Utd
13,2021-11-27,Away,L,0,2,Arsenal,0.3,2.5,34.0,Newcastle Utd
14,2021-11-30,Home,D,1,1,Norwich City,1.1,1.2,32.0,Newcastle Utd
15,2021-12-04,Home,W,1,0,Burnley,1.0,0.6,48.0,Newcastle Utd
16,2021-12-12,Away,L,0,4,Leicester City,1.0,2.6,53.0,Newcastle Utd
17,2021-12-16,Away,L,1,3,Liverpool,0.3,2.7,26.0,Newcastle Utd
18,2021-12-19,Home,L,0,4,Manchester City,0.3,2.9,29.0,Newcastle Utd
19,2021-12-27,Home,D,1,1,Manchester Utd,1.3,1.6,32.0,Newcastle Utd
21,2022-01-15,Home,D,1,1,Watford,1.2,1.4,52.0,Newcastle Utd
22,2022-01-22,Away,W,1,0,Leeds United,0.9,0.7,38.0,Newcastle Utd
23,2022-02-08,Home,W,3,1,Everton,1.9,0.7,40.0,Newcastle Utd
24,2022-02-13,Home,W,1,0,Aston Villa,0.5,0.6,38.0,Newcastle Utd
25,2022-02-19,Away,D,1,1,West Ham,0.8,0.6,53.0,Newcastle Utd
26,2022-02-26,Away,W,2,0,Brentford,2.7,0.4,63.0,Newcastle Utd
27,2022-03-05,Home,W,2,1,Brighton,1.7,1.5,32.0,Newcastle Utd
28,2022-03-10,Away,W,2,1,Southampton,0.6,1.1,33.0,Newcastle Utd
29,2022-03-13,Away,L,0,1,Chelsea,0.3,1.1,29.0,Newcastle Utd
30,2022-03-17,Away,L,0,1,Everton,0.9,0.7,61.0,Newcastle Utd
31,2022-04-03,Away,L,1,5,Tottenham,0.5,3.1,40.0,Newcastle Utd
32,2022-04-08,Home,W,1,0,Wolves,1.5,0.4,42.0,Newcastle Utd
33,2022-04-17,Home,W,2,1,Leicester City,1.8,0.6,32.0,Newcastle Utd
34,2022-04-20,Home,W,1,0,Crystal Palace,0.9,0.5,37.0,Newcastle Utd
35,2022-04-23,Away,W,3,0,Norwich City,1.9,0.6,54.0,Newcastle Utd
36,2022-04-30,Home,L,0,1,Liverpool,0.2,2.3,36.0,Newcastle Utd
37,2022-05-08,Away,L,0,5,Manchester City,0.8,3.1,29.0,Newcastle Utd
38,2022-05-16,Home,W,2,0,Arsenal,1.6,0.6,51.0,Newcastle Utd
39,2022-05-22,Away,W,2,1,Burnley,1.8,1.6,48.0,Newcastle Utd
