,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2021-08-15,Away,W,4,2,Newcastle Utd,2.7,1.8,54.0,West Ham
1,2021-08-23,Home,W,4,1,Leicester City,2.3,0.6,52.0,West Ham
2,2021-08-28,Home,D,2,2,Crystal Palace,1.3,1.1,47.0,West Ham
3,2021-09-11,Away,D,0,0,Southampton,0.7,0.7,58.0,West Ham
5,2021-09-19,Home,L,1,2,Manchester Utd,1.6,2.0,40.0,West Ham
7,2021-09-25,Away,W,2,1,Leeds United,1.6,1.2,47.0,West Ham
9,2021-10-03,Home,L,1,2,Brentford,1.5,1.2,59.0,West Ham
10,2021-10-17,Away,W,1,0,Everton,1.2,0.9,61.0,West Ham
12,2021-10-24,Home,W,1,0,Tottenham,1.3,0.7,38.0,West Ham
14,2021-10-31,Away,W,4,1,Aston Villa,2.3,0.7,57.0,West Ham
16,2021-11-07,Home,W,3,2,Liverpool,1.0,1.2,31.0,West Ham
17,2021-11-20,Away,L,0,1,Wolves,0.4,1.4,48.0,West Ham
19,2021-11-28,Away,L,1,2,Manchester City,0.2,2.1,32.0,West Ham
20,2021-12-01,Home,D,1,1,Brighton,1.3,1.3,35.0,West Ham
21,2021-12-04,Home,W,3,2,Chelsea,1.8,1.1,37.0,West Ham
23,2021-12-12,Away,D,0,0,Burnley,0.8,0.8,60.0,West Ham
24,2021-12-15,Away,L,0,2,Arsenal,0.4,2.8,45.0,West Ham
26,2021-12-26,Home,L,2,3,Southampton,1.6,1.2,56.0,West Ham
27,2021-12-28,Away,W,4,1,Watford,3.6,1.6,57.0,West Ham
28,2022-01-01,Away,W,3,2,Crystal Palace,2.2,2.4,38.0,West Ham
30,2022-01-12,Home,W,2,0,Norwich City,2.5,0.3,62.0,West Ham
31,2022-01-16,Home,L,2,3,Leeds United,2.4,2.2,48.0,West Ham
32,2022-01-22,Away,L,0,1,Manchester Utd,0.3,1.9,43.0,West Ham
34,2022-02-08,Home,W,1,0,Watford,0.8,0.3,64.0,West Ham
35,2022-02-13,Away,D,2,2,Leicester City,1.1,1.4,45.0,West Ham
36,2022-02-19,Home,D,1,1,Newcastle Utd,0.6,0.8,47.0,West Ham
37,2022-02-27,Home,W,1,0,Wolves,1.8,0.7,39.0,West Ham
39,2022-03-05,Away,L,0,1,Liverpool,1.3,2.4,32.0,West Ham
41,2022-03-13,Home,W,2,1,Aston Villa,1.2,1.1,47.0,West Ham
43,2022-03-20,Away,L,1,3,Tottenham,0.6,3.0,47.0,West Ham
44,2022-04-03,Home,W,2,1,Everton,1.2,0.7,55.0,West Ham
46,2022-04-10,Away,L,0,2,Brentford,0.3,1.4,53.0,West Ham
48,2022-04-17,Home,D,1,1,Burnley,2.2,1.8,61.0,West Ham
49,2022-04-24,Away,L,0,1,Chelsea,0.5,3.0,34.0,West Ham
51,2022-05-01,Home,L,1,2,Arsenal,0.5,0.9,57.0,West Ham
53,2022-05-08,Away,W,4,0,Norwich City,3.0,0.8,63.0,West Ham
54,2022-05-15,Home,D,2,2,Manchester City,1.1,2.4,22.0,West Ham
55,2022-05-22,Away,L,1,3,Brighton,0.2,1.6,50.0,West Ham
