,team,spi,off,def,date
0,Man City,92.1,2.8,0.3,2021-08-11
1,Liverpool,88.7,2.6,0.4,2021-08-11
2,Chelsea,88.8,2.4,0.3,2021-08-11
3,Man United,85.7,2.4,0.5,2021-08-11
4,Arsenal,81.2,2.1,0.5,2021-08-11
5,Tottenham,79.3,2.3,0.7,2021-08-11
6,Leicester,78.2,2.1,0.6,2021-08-11
7,West Ham,73.9,2.1,0.8,2021-08-11
8,Brighton,74.6,1.9,0.6,2021-08-11
9,Aston Villa,72.8,2.0,0.8,2021-08-11
10,Leeds United,72.6,2.0,0.8,2021-08-11
11,Everton,73.4,1.9,0.7,2021-08-11
12,Wolves,70.9,1.8,0.7,2021-08-11
13,Newcastle,67.2,1.9,0.9,2021-08-11
14,Southamon,67.0,1.9,0.9,2021-08-11
15,Burnley,65.3,1.8,0.9,2021-08-11
16,Brentford,63.3,1.7,0.9,2021-08-11
17,Crystal Palace,63.0,1.7,1.0,2021-08-11
18,Norwich,62.0,1.6,0.9,2021-08-11
19,Watford,61.4,1.6,1.0,2021-08-11
