,team,spi,off,def,date
0,Man City,93.2,2.9,0.2,2021-12-08
1,Liverpool,92.7,3.1,0.4,2021-12-08
2,Chelsea,89.4,2.6,0.3,2021-12-08
3,West Ham,78.5,2.2,0.7,2021-12-08
4,Man United,78.4,2.2,0.7,2021-12-08
5,Tottenham,73.4,2.0,0.7,2021-12-08
6,Arsenal,76.6,2.0,0.6,2021-12-08
7,Brighton,76.8,1.9,0.5,2021-12-08
8,Aston Villa,72.4,2.0,0.8,2021-12-08
9,Leicester,70.7,2.1,0.9,2021-12-08
10,Wolves,71.5,1.7,0.6,2021-12-08
11,Everton,70.3,1.9,0.8,2021-12-08
12,Crystal Palace,70.9,1.8,0.7,2021-12-08
13,Southamon,69.5,1.8,0.8,2021-12-08
14,Brentford,67.1,1.8,0.9,2021-12-08
15,Leeds United,70.1,1.9,0.8,2021-12-08
16,Watford,62.9,1.8,1.0,2021-12-08
17,Burnley,64.8,1.8,1.0,2021-12-08
18,Newcastle,60.3,1.7,1.1,2021-12-08
19,Norwich,57.7,1.6,1.0,2021-12-08
