,team,spi,off,def,date
0,Man City,93.1,3.0,0.3,2021-11-03
1,Liverpool,91.2,3.1,0.4,2021-11-03
2,Chelsea,89.7,2.4,0.3,2021-11-03
3,Man United,81.6,2.4,0.6,2021-11-03
4,West Ham,77.7,2.1,0.7,2021-11-03
5,Arsenal,77.5,2.1,0.6,2021-11-03
6,Brighton,76.0,1.9,0.6,2021-11-03
7,Tottenham,73.5,2.0,0.8,2021-11-03
8,Leicester,74.3,2.1,0.8,2021-11-03
9,Wolves,73.0,1.8,0.7,2021-11-03
10,Everton,70.0,2.0,0.9,2021-11-03
11,Crystal Palace,69.6,1.8,0.8,2021-11-03
12,Brentford,69.8,1.8,0.8,2021-11-03
13,Southamon,69.7,1.8,0.8,2021-11-03
14,Aston Villa,69.8,2.0,0.9,2021-11-03
15,Leeds United,70.3,1.9,0.8,2021-11-03
16,Burnley,65.7,1.8,0.9,2021-11-03
17,Watford,59.5,1.6,1.0,2021-11-03
18,Newcastle,60.8,1.8,1.1,2021-11-03
19,Norwich,55.5,1.5,1.1,2021-11-03
