,team,spi,off,def,date
0,Man City,93.8,2.9,0.2,2022-03-09
1,Liverpool,92.6,3.0,0.3,2022-03-09
2,Chelsea,89.7,2.5,0.3,2022-03-09
3,Arsenal,81.5,2.2,0.5,2022-03-09
4,Tottenham,79.8,2.3,0.7,2022-03-09
5,Man United,78.6,2.2,0.7,2022-03-09
6,West Ham,74.7,2.0,0.7,2022-03-09
7,Wolves,71.6,1.7,0.6,2022-03-09
8,Leicester,70.5,2.1,1.0,2022-03-09
9,Southamon,70.5,2.0,0.9,2022-03-09
10,Aston Villa,74.8,2.0,0.7,2022-03-09
11,Brighton,74.9,1.9,0.6,2022-03-09
12,Crystal Palace,72.8,1.9,0.7,2022-03-09
13,Newcastle,65.6,1.8,0.9,2022-03-09
14,Brentford,66.4,1.8,0.9,2022-03-09
15,Everton,64.2,1.8,1.0,2022-03-09
16,Leeds United,63.8,1.9,1.1,2022-03-09
17,Burnley,64.9,1.6,0.8,2022-03-09
18,Watford,60.0,1.7,1.0,2022-03-09
19,Norwich,53.0,1.5,1.2,2022-03-09
