,Date,Venue,Result,GF_x,GA_x,Opp,xG_x,xGA_x,Poss_x,Club,Poss_y,Position_x,Pl_x,Pts_x,Form_x,Position_y,Pl_y,Pts_y,Form_y,spi_x,off_x,def_x,Season,spi_y,off_y,def_y
0,2023-04-21,Home,,,,SOU,,,,ARS,,1,31,74,2.2,20,31,23,0.2,83.8,2.6,0.6,2022,61.0,1.6,0.9
1,2023-04-21,Away,,,,ARS,,,,SOU,,20,31,23,0.2,1,31,74,2.2,61.0,1.6,0.9,2022,83.8,2.6,0.6
2,2023-04-22,Away,,,,LIV,,,,NFO,,18,31,27,0.2,8,30,47,1.0,53.2,1.5,1.2,2022,84.5,2.6,0.6
3,2023-04-22,Home,,,,CHE,,,,MUN,,3,30,59,2.0,11,31,39,0.4,79.3,2.3,0.7,2022,78.4,2.0,0.5
4,2023-04-22,Home,,,,NFO,,,,LIV,,8,30,47,1.0,18,31,27,0.2,84.5,2.6,0.6,2022,53.2,1.5,1.2
5,2023-04-22,Home,,,,WOL,,,,LEI,,19,31,25,0.2,13,31,34,1.4,67.6,1.9,0.9,2022,64.9,1.6,0.8
6,2023-04-22,Home,,,,LEE,,,,FUL,,10,30,42,0.6,16,31,29,1.2,66.0,1.8,0.9,2022,61.8,1.9,1.2
7,2023-04-22,Away,,,,FUL,,,,LEE,,16,31,29,1.2,10,30,42,0.6,61.8,1.9,1.2,2022,66.0,1.8,0.9
8,2023-04-22,Home,,,,EVE,,,,CRY,,12,31,36,1.8,17,31,27,1.0,72.7,1.8,0.6,2022,59.6,1.7,1.1
9,2023-04-22,Away,,,,MUN,,,,CHE,,11,31,39,0.4,3,30,59,2.0,78.4,2.0,0.5,2022,79.3,2.3,0.7
10,2023-04-22,Home,,,,AVL,,,,BRE,,9,31,43,0.4,6,31,50,3.0,73.5,2.1,0.8,2022,76.6,2.0,0.6
11,2023-04-22,Away,,,,BRE,,,,AVL,,6,31,50,3.0,9,31,43,0.4,76.6,2.0,0.6,2022,73.5,2.1,0.8
12,2023-04-22,Away,,,,CRY,,,,EVE,,17,31,27,1.0,12,31,36,1.8,59.6,1.7,1.1,2022,72.7,1.8,0.6
13,2023-04-22,Away,,,,LEI,,,,WOL,,13,31,34,1.4,19,31,25,0.2,64.9,1.6,0.8,2022,67.6,1.9,0.9
14,2023-04-23,Away,,,,BOU,,,,WHU,,15,30,31,1.6,14,31,33,1.8,71.1,1.8,0.7,2022,59.8,1.7,1.1
15,2023-04-23,Home,,,,MCI,,,,BHA,,7,29,49,2.0,2,30,70,3.0,82.5,2.4,0.6,2022,92.6,3.0,0.3
16,2023-04-23,Away,,,,BHA,,,,MCI,,2,30,70,3.0,7,29,49,2.0,92.6,3.0,0.3,2022,82.5,2.4,0.6
17,2023-04-23,Home,,,,TOT,,,,NEW,,4,30,56,2.4,5,31,53,1.6,80.5,2.2,0.6,2022,74.3,2.2,0.8
18,2023-04-23,Home,,,,WHU,,,,BOU,,14,31,33,1.8,15,30,31,1.6,59.8,1.7,1.1,2022,71.1,1.8,0.7
19,2023-04-23,Away,,,,NEW,,,,TOT,,5,31,53,1.6,4,30,56,2.4,74.3,2.2,0.8,2022,80.5,2.2,0.6
