,Date,Venue,Result,GF_x,GA_x,Opp,xG_x,xGA_x,Poss_x,Club,Poss_y,Position_x,Pl_x,Pts_x,Form_x,Position_y,Pl_y,Pts_y,Form_y,spi_x,off_x,def_x,Season,spi_y,off_y,def_y
0,2017-08-11,Home,W,4.0,3.0,LEI,2.5,1.5,68.0,ARS,32.0,,,,,,,,,78.1,2.6,0.9,2017,62.1,1.8,1.1
27,2017-08-19,Away,L,0.0,1.0,STK,1.5,0.7,76.0,ARS,24.0,5.0,1.0,3.0,,16.0,1.0,0.0,,78.0,2.5,0.9,2017,60.7,1.6,0.9
58,2017-08-27,Away,L,0.0,4.0,LIV,0.6,3.1,52.0,ARS,48.0,11.0,2.0,3.0,3.0,6.0,2.0,4.0,1.0,76.0,2.5,0.9,2017,78.5,2.4,0.8
73,2017-09-09,Home,W,3.0,0.0,BOU,2.2,0.6,58.0,ARS,42.0,16.0,3.0,3.0,3.0,18.0,3.0,0.0,0.0,76.7,2.5,0.9,2017,54.3,1.6,1.2
98,2017-09-17,Away,D,0.0,0.0,CHE,1.4,0.8,49.0,ARS,51.0,11.0,4.0,6.0,3.0,3.0,4.0,9.0,6.0,77.6,2.4,0.8,2017,82.6,2.5,0.6
119,2017-09-25,Home,W,2.0,0.0,WBA,2.2,0.9,69.0,ARS,31.0,12.0,5.0,7.0,6.0,10.0,5.0,8.0,7.0,78.2,2.4,0.8,2017,54.9,1.4,1.0
137,2017-10-01,Home,W,2.0,0.0,BHA,2.4,0.4,64.0,ARS,36.0,7.0,6.0,10.0,7.0,13.0,6.0,7.0,4.0,79.1,2.5,0.8,2017,47.8,1.2,1.1
147,2017-10-14,Away,L,1.0,2.0,WAT,1.0,1.6,54.0,ARS,46.0,5.0,7.0,13.0,10.0,8.0,7.0,12.0,11.0,79.1,2.5,0.8,2017,57.0,1.6,1.1
178,2017-10-22,Away,W,5.0,2.0,EVE,3.5,1.0,67.0,ARS,33.0,6.0,8.0,13.0,13.0,16.0,8.0,8.0,7.0,79.4,2.6,0.8,2017,60.4,1.7,1.1
180,2017-10-28,Home,W,2.0,1.0,SWA,2.0,0.9,72.0,ARS,28.0,5.0,9.0,16.0,13.0,15.0,9.0,8.0,8.0,79.3,2.6,0.8,2017,54.2,1.4,1.1
216,2017-11-05,Away,L,1.0,3.0,MCI,0.3,1.8,43.0,ARS,57.0,5.0,10.0,19.0,16.0,1.0,10.0,28.0,25.0,78.1,2.4,0.8,2017,90.9,3.2,0.5
225,2017-11-18,Home,W,2.0,0.0,TOT,2.1,0.7,43.0,ARS,57.0,6.0,11.0,19.0,19.0,3.0,11.0,23.0,20.0,79.3,2.5,0.8,2017,83.9,2.4,0.5
254,2017-11-26,Away,W,1.0,0.0,BUR,1.8,0.4,64.0,ARS,36.0,6.0,12.0,22.0,19.0,7.0,12.0,22.0,19.0,81.5,2.5,0.7,2017,60.6,1.5,0.9
274,2017-11-29,Home,W,5.0,0.0,HUD,4.0,0.5,69.0,ARS,31.0,4.0,13.0,25.0,22.0,11.0,13.0,15.0,15.0,81.5,2.5,0.7,2017,45.0,1.2,1.2
283,2017-12-02,Home,L,1.0,3.0,MUN,4.7,1.8,75.0,ARS,25.0,4.0,14.0,28.0,25.0,2.0,14.0,32.0,29.0,81.5,2.5,0.7,2017,82.9,2.4,0.6
319,2017-12-10,Away,D,1.0,1.0,SOU,0.7,1.3,67.0,ARS,33.0,5.0,15.0,28.0,28.0,11.0,15.0,17.0,16.0,83.9,2.7,0.7,2017,61.1,1.7,1.0
337,2017-12-13,Away,D,0.0,0.0,WHU,1.0,0.4,69.0,ARS,31.0,5.0,16.0,29.0,28.0,18.0,16.0,13.0,10.0,83.9,2.7,0.7,2017,53.8,1.5,1.1
344,2017-12-16,Home,W,1.0,0.0,NEW,1.8,0.3,71.0,ARS,29.0,7.0,17.0,30.0,29.0,16.0,17.0,15.0,15.0,83.9,2.7,0.7,2017,51.8,1.4,1.2
360,2017-12-22,Home,D,3.0,3.0,LIV,1.2,2.0,54.0,ARS,46.0,5.0,18.0,33.0,30.0,4.0,18.0,34.0,31.0,83.9,2.7,0.7,2017,85.7,2.8,0.6
398,2017-12-28,Away,W,3.0,2.0,CRY,1.8,1.3,64.0,ARS,36.0,6.0,19.0,34.0,33.0,16.0,19.0,18.0,17.0,83.6,2.7,0.7,2017,62.0,1.7,1.0
416,2017-12-31,Away,D,1.0,1.0,WBA,0.9,1.5,65.0,ARS,35.0,6.0,20.0,37.0,34.0,19.0,20.0,15.0,14.0,82.9,2.8,0.8,2017,54.6,1.3,0.9
437,2018-01-03,Home,D,2.0,2.0,CHE,1.2,3.0,58.0,ARS,42.0,5.0,21.0,38.0,37.0,2.0,21.0,45.0,42.0,82.9,2.8,0.8,2017,85.6,2.6,0.5
457,2018-01-14,Away,L,1.0,2.0,BOU,1.1,0.8,59.0,ARS,41.0,6.0,22.0,39.0,38.0,16.0,22.0,21.0,20.0,81.8,2.7,0.8,2017,57.1,1.7,1.2
462,2018-01-20,Home,W,4.0,1.0,CRY,2.9,0.6,63.0,ARS,37.0,6.0,23.0,39.0,39.0,12.0,23.0,25.0,22.0,82.7,2.8,0.8,2017,63.1,1.7,1.0
484,2018-01-30,Away,L,1.0,3.0,SWA,1.3,2.1,74.0,ARS,26.0,6.0,24.0,42.0,39.0,20.0,24.0,20.0,17.0,80.9,2.8,0.9,2017,52.9,1.3,1.0
511,2018-02-03,Home,W,5.0,1.0,EVE,2.6,1.2,57.0,ARS,43.0,6.0,25.0,42.0,42.0,9.0,25.0,31.0,28.0,81.4,2.8,0.9,2017,56.5,1.6,1.1
529,2018-02-10,Away,L,0.0,1.0,TOT,0.6,2.6,50.0,ARS,50.0,6.0,26.0,45.0,42.0,5.0,26.0,49.0,48.0,80.7,2.7,0.9,2017,86.5,2.7,0.5
558,2018-03-01,Home,L,0.0,3.0,MCI,1.3,1.5,46.0,ARS,54.0,6.0,27.0,45.0,45.0,1.0,27.0,72.0,69.0,80.2,2.7,0.9,2017,91.2,3.2,0.5
576,2018-03-04,Away,L,1.0,2.0,BHA,1.2,1.2,67.0,ARS,33.0,6.0,28.0,45.0,45.0,12.0,28.0,31.0,28.0,78.4,2.6,0.9,2017,56.1,1.5,1.0
597,2018-03-11,Home,W,3.0,0.0,WAT,2.2,1.4,59.0,ARS,41.0,6.0,29.0,45.0,45.0,9.0,29.0,36.0,33.0,79.7,2.6,0.9,2017,60.1,1.7,1.1
626,2018-04-01,Home,W,3.0,0.0,STK,3.3,0.4,69.0,ARS,31.0,6.0,30.0,48.0,45.0,19.0,31.0,27.0,27.0,80.7,2.7,0.9,2017,50.3,1.4,1.2
647,2018-04-08,Home,W,3.0,2.0,SOU,1.6,2.0,64.0,ARS,36.0,6.0,31.0,51.0,48.0,18.0,31.0,28.0,28.0,80.5,2.8,0.9,2017,57.7,1.6,1.1
662,2018-04-15,Away,L,1.0,2.0,NEW,1.2,0.8,71.0,ARS,29.0,6.0,32.0,54.0,51.0,10.0,32.0,38.0,35.0,79.8,2.7,0.9,2017,59.6,1.6,1.0
682,2018-04-22,Home,W,4.0,1.0,WHU,1.8,0.8,67.0,ARS,33.0,6.0,33.0,54.0,54.0,14.0,33.0,35.0,34.0,80.2,2.8,0.9,2017,53.9,1.7,1.3
