,Date,Venue,Result,GF_x,GA_x,Opp,xG_x,xGA_x,Poss_x,Club,Poss_y,Position_x,Pl_x,Pts_x,Form_x,Position_y,Pl_y,Pts_y,Form_y,spi_x,off_x,def_x,Season,spi_y,off_y,def_y
0,2023-03-15,Home,,,,BRE,,,,SOU,,20,26,22,1.4,9,25,38,1.6,62.4,1.6,0.9,2022,73.7,2.1,0.8
1,2023-03-15,Away,,,,SOU,,,,BRE,,9,25,38,1.6,20,26,22,1.4,73.7,2.1,0.8,2022,62.4,1.6,0.9
2,2023-03-15,Home,,,,CRY,,,,BHA,,7,24,39,1.6,12,26,27,0.6,81.7,2.3,0.6,2022,66.4,1.6,0.7
3,2023-03-15,Away,,,,BHA,,,,CRY,,12,26,27,0.6,7,24,39,1.6,66.4,1.6,0.7,2022,81.7,2.3,0.6
4,2023-03-17,Home,,,,NEW,,,,NFO,,14,26,26,0.4,5,25,44,1.0,55.5,1.5,1.1,2022,79.4,2.1,0.5
5,2023-03-17,Away,,,,NFO,,,,NEW,,5,25,44,1.0,14,26,26,0.4,79.4,2.1,0.5,2022,55.5,1.5,1.1
6,2023-03-18,Away,,,,WOL,,,,LEE,,19,26,23,0.8,13,27,27,0.8,67.5,1.8,0.9,2022,64.9,1.6,0.8
7,2023-03-18,Away,,,,SOU,,,,TOT,,4,27,48,1.8,20,26,22,1.4,77.3,2.2,0.7,2022,62.4,1.6,0.9
8,2023-03-18,Home,,,,FUL,,,,LIV,,6,26,42,2.0,8,27,39,1.4,84.6,2.6,0.6,2022,67.2,1.8,0.9
9,2023-03-18,Away,,,,BRE,,,,LEI,,16,26,24,0.6,9,25,38,1.6,69.1,1.9,0.9,2022,73.7,2.1,0.8
10,2023-03-18,Home,,,,LEE,,,,WOL,,13,27,27,0.8,19,26,23,0.8,64.9,1.6,0.8,2022,67.5,1.8,0.9
11,2023-03-18,Away,,,,LIV,,,,FUL,,8,27,39,1.4,6,26,42,2.0,67.2,1.8,0.9,2022,84.6,2.6,0.6
12,2023-03-18,Away,,,,CHE,,,,EVE,,15,27,25,1.4,10,26,37,1.4,61.0,1.7,1.0,2022,80.4,2.0,0.5
13,2023-03-18,Home,,,,EVE,,,,CHE,,10,26,37,1.4,15,27,25,1.4,80.4,2.0,0.5,2022,61.0,1.7,1.0
14,2023-03-18,Away,,,,AVL,,,,BOU,,18,26,24,1.4,11,26,35,1.4,57.8,1.6,1.1,2022,71.6,1.9,0.8
15,2023-03-18,Home,,,,BOU,,,,AVL,,11,26,35,1.4,18,26,24,1.4,71.6,1.9,0.8,2022,57.8,1.6,1.1
16,2023-03-19,Home,,,,WHU,,,,MCI,,2,27,61,2.6,17,26,24,1.0,90.9,2.8,0.3,2022,71.3,1.8,0.7
17,2023-03-19,Away,,,,BHA,,,,MUN,,3,26,50,1.6,7,24,39,1.6,79.4,2.3,0.7,2022,81.7,2.3,0.6
18,2023-03-19,Away,,,,MCI,,,,WHU,,17,26,24,1.0,2,27,61,2.6,71.3,1.8,0.7,2022,90.9,2.8,0.3
19,2023-03-19,Home,,,,CRY,,,,ARS,,1,27,66,3.0,12,26,27,0.6,85.9,2.5,0.5,2022,66.4,1.6,0.7
