,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2022-08-07,Away,W,2,1,Manchester Utd,1.5,1.4,38,Brighton
1,2022-08-13,Home,D,0,0,Newcastle Utd,1.5,0.2,54,Brighton
2,2022-08-21,Away,W,2,0,West Ham,1.7,0.8,50,Brighton
4,2022-08-27,Home,W,1,0,Leeds United,2.0,1.8,44,Brighton
5,2022-08-30,Away,L,1,2,Fulham,1.4,0.7,61,Brighton
6,2022-09-04,Home,W,5,2,Leicester City,2.6,1.4,53,Brighton
7,2022-10-01,Away,D,3,3,Liverpool,1.4,1.5,46,Brighton
8,2022-10-08,Home,L,0,1,Tottenham,0.7,0.8,59,Brighton
9,2022-10-14,Away,L,0,2,Brentford,1.9,1.5,72,Brighton
10,2022-10-18,Home,D,0,0,Nott'ham Forest,1.7,0.1,70,Brighton
11,2022-10-22,Away,L,1,3,Manchester City,0.5,1.6,52,Brighton
12,2022-10-29,Home,W,4,1,Chelsea,2.4,1.4,41,Brighton
13,2022-11-05,Away,W,3,2,Wolves,1.5,1.2,71,Brighton
15,2022-11-13,Home,L,1,2,Aston Villa,0.6,1.5,65,Brighton
17,2022-12-26,Away,W,3,1,Southampton,0.6,1.9,66,Brighton
18,2022-12-31,Home,L,2,4,Arsenal,1.2,2.9,68,Brighton
19,2023-01-03,Away,W,4,1,Everton,2.2,1.3,51,Brighton
21,2023-01-14,Home,W,3,0,Liverpool,1.9,1.0,61,Brighton
22,2023-01-21,Away,D,2,2,Leicester City,1.7,0.9,63,Brighton
24,2023-02-04,Home,W,1,0,Bournemouth,2.2,1.1,71,Brighton
25,2023-02-11,Away,D,1,1,Crystal Palace,2.5,1.1,73,Brighton
26,2023-02-18,Home,L,0,1,Fulham,2.2,0.3,65,Brighton
28,2023-03-04,Home,W,4,0,West Ham,3.5,0.3,65,Brighton
29,2023-03-11,Away,D,2,2,Leeds United,2.7,0.9,62,Brighton
30,2023-03-15,Home,W,1,0,Crystal Palace,0.6,1.1,57,Brighton
32,2023-04-01,Home,D,3,3,Brentford,4.2,1.6,72,Brighton
33,2023-04-04,Away,W,2,0,Bournemouth,2.7,1.7,63,Brighton
34,2023-04-08,Away,L,1,2,Tottenham,1.4,0.8,65,Brighton
35,2023-04-15,Away,W,2,1,Chelsea,2.9,0.5,57,Brighton
37,2023-04-26,Away,L,1,3,Nott'ham Forest,2.3,2.4,74,Brighton
38,2023-04-29,Home,,,,Wolves,,,,Brighton
39,2023-05-04,Home,,,,Manchester Utd,,,,Brighton
40,2023-05-08,Home,,,,Everton,,,,Brighton
41,2023-05-14,Away,,,,Arsenal,,,,Brighton
42,2023-05-18,Away,,,,Newcastle Utd,,,,Brighton
43,2023-05-21,Home,,,,Southampton,,,,Brighton
44,2023-05-24,Home,,,,Manchester City,,,,Brighton
45,2023-05-28,Away,,,,Aston Villa,,,,Brighton
