,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2022-08-06,Home,L,0,1,Chelsea,0.7,1.5,38,Everton
1,2022-08-13,Away,L,1,2,Aston Villa,1.6,2.3,43,Everton
2,2022-08-20,Home,D,1,1,Nott'ham Forest,1.5,1.0,49,Everton
4,2022-08-27,Away,D,1,1,Brentford,1.1,2.1,42,Everton
5,2022-08-30,Away,D,1,1,Leeds United,1.0,1.0,31,Everton
6,2022-09-03,Home,D,0,0,Liverpool,1.7,2.1,39,Everton
7,2022-09-18,Home,W,1,0,West Ham,0.4,1.0,53,Everton
8,2022-10-01,Away,W,2,1,Southampton,2.0,1.7,45,Everton
9,2022-10-09,Home,L,1,2,Manchester Utd,0.6,1.4,40,Everton
10,2022-10-15,Away,L,0,2,Tottenham,0.4,2.2,38,Everton
11,2022-10-19,Away,L,0,1,Newcastle Utd,0.2,1.5,51,Everton
12,2022-10-22,Home,W,3,0,Crystal Palace,1.4,0.9,46,Everton
13,2022-10-29,Away,D,0,0,Fulham,0.9,1.9,44,Everton
14,2022-11-05,Home,L,0,2,Leicester City,1.2,2.3,49,Everton
16,2022-11-12,Away,L,0,3,Bournemouth,0.8,2.4,64,Everton
17,2022-12-26,Home,L,1,2,Wolves,1.7,0.8,58,Everton
18,2022-12-31,Away,D,1,1,Manchester City,0.1,1.7,26,Everton
19,2023-01-03,Home,L,1,4,Brighton,1.3,2.2,49,Everton
21,2023-01-14,Home,L,1,2,Southampton,1.4,1.2,52,Everton
22,2023-01-21,Away,L,0,2,West Ham,0.5,2.2,67,Everton
23,2023-02-04,Home,W,1,0,Arsenal,1.7,0.9,30,Everton
24,2023-02-13,Away,L,0,2,Liverpool,0.4,2.3,41,Everton
25,2023-02-18,Home,W,1,0,Leeds United,1.4,0.5,51,Everton
26,2023-02-25,Home,L,0,2,Aston Villa,1.6,1.9,47,Everton
27,2023-03-01,Away,L,0,4,Arsenal,1.2,2.6,27,Everton
28,2023-03-05,Away,D,2,2,Nott'ham Forest,1.7,0.8,43,Everton
29,2023-03-11,Home,W,1,0,Brentford,1.0,2.0,33,Everton
30,2023-03-18,Away,D,2,2,Chelsea,1.2,2.3,32,Everton
31,2023-04-03,Home,D,1,1,Tottenham,0.9,1.4,39,Everton
32,2023-04-08,Away,,,,Manchester Utd,,,,Everton
33,2023-04-15,Home,,,,Fulham,,,,Everton
34,2023-04-22,Away,,,,Crystal Palace,,,,Everton
35,2023-04-27,Home,,,,Newcastle Utd,,,,Everton
36,2023-05-01,Away,,,,Leicester City,,,,Everton
37,2023-05-08,Away,,,,Brighton,,,,Everton
38,2023-05-13,Home,,,,Manchester City,,,,Everton
39,2023-05-20,Away,,,,Wolves,,,,Everton
40,2023-05-28,Home,,,,Bournemouth,,,,Everton
