,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
1,2022-08-07,Away,W,2,0,West Ham,2.2,0.5,75,Manchester City
2,2022-08-13,Home,W,4,0,Bournemouth,1.7,0.1,67,Manchester City
3,2022-08-21,Away,D,3,3,Newcastle Utd,2.1,1.8,69,Manchester City
4,2022-08-27,Home,W,4,2,Crystal Palace,2.2,0.1,74,Manchester City
5,2022-08-31,Home,W,6,0,Nott'ham Forest,3.3,0.7,74,Manchester City
6,2022-09-03,Away,D,1,1,Aston Villa,2.1,0.3,71,Manchester City
9,2022-09-17,Away,W,3,0,Wolves,1.1,0.4,59,Manchester City
10,2022-10-02,Home,W,6,3,Manchester Utd,3.2,1.7,53,Manchester City
12,2022-10-08,Home,W,4,0,Southampton,2.4,0.2,65,Manchester City
14,2022-10-16,Away,L,0,1,Liverpool,1.0,2.1,63,Manchester City
15,2022-10-22,Home,W,3,1,Brighton,1.6,0.5,48,Manchester City
17,2022-10-29,Away,W,1,0,Leicester City,1.0,0.7,64,Manchester City
19,2022-11-05,Home,W,2,1,Fulham,2.1,1.0,70,Manchester City
21,2022-11-12,Home,L,1,2,Brentford,1.6,1.3,74,Manchester City
23,2022-12-28,Away,W,3,1,Leeds United,4.3,0.6,69,Manchester City
24,2022-12-31,Home,D,1,1,Everton,1.7,0.1,74,Manchester City
25,2023-01-05,Away,W,1,0,Chelsea,2.1,0.4,52,Manchester City
28,2023-01-14,Away,L,1,2,Manchester Utd,0.6,1.7,70,Manchester City
29,2023-01-19,Home,W,4,2,Tottenham,2.3,0.8,58,Manchester City
30,2023-01-22,Home,W,3,0,Wolves,2.8,0.8,55,Manchester City
32,2023-02-05,Away,L,0,1,Tottenham,1.3,1.4,64,Manchester City
33,2023-02-12,Home,W,3,1,Aston Villa,3.6,0.3,67,Manchester City
34,2023-02-15,Away,W,3,1,Arsenal,1.7,1.6,37,Manchester City
35,2023-02-18,Away,D,1,1,Nott'ham Forest,2.5,1.0,73,Manchester City
37,2023-02-25,Away,W,4,1,Bournemouth,2.3,1.0,66,Manchester City
39,2023-03-04,Home,W,2,0,Newcastle Utd,1.3,0.4,57,Manchester City
40,2023-03-11,Away,,,,Crystal Palace,,,,Manchester City
43,2023-03-19,Home,,,,West Ham,,,,Manchester City
44,2023-04-01,Home,,,,Liverpool,,,,Manchester City
45,2023-04-09,Away,,,,Southampton,,,,Manchester City
46,2023-04-16,Home,,,,Leicester City,,,,Manchester City
47,2023-04-23,Away,,,,Brighton,,,,Manchester City
48,2023-04-26,Home,,,,Arsenal,,,,Manchester City
49,2023-04-30,Away,,,,Fulham,,,,Manchester City
50,2023-05-06,Home,,,,Leeds United,,,,Manchester City
51,2023-05-13,Away,,,,Everton,,,,Manchester City
52,2023-05-20,Home,,,,Chelsea,,,,Manchester City
53,2023-05-28,Away,,,,Brentford,,,,Manchester City
