,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2022-08-06,Away,L,0,2,Newcastle Utd,0.3,1.7,39,Nott'ham Forest
1,2022-08-14,Home,W,1,0,West Ham,1.3,2.1,43,Nott'ham Forest
2,2022-08-20,Away,D,1,1,Everton,1.0,1.5,51,Nott'ham Forest
4,2022-08-28,Home,L,0,2,Tottenham,0.9,2.4,55,Nott'ham Forest
5,2022-08-31,Away,L,0,6,Manchester City,0.7,3.3,26,Nott'ham Forest
6,2022-09-03,Home,L,2,3,Bournemouth,1.9,0.8,52,Nott'ham Forest
7,2022-09-16,Home,L,2,3,Fulham,1.4,0.9,41,Nott'ham Forest
8,2022-10-03,Away,L,0,4,Leicester City,1.1,1.3,49,Nott'ham Forest
9,2022-10-10,Home,D,1,1,Aston Villa,0.3,0.7,40,Nott'ham Forest
10,2022-10-15,Away,L,0,1,Wolves,1.5,1.3,42,Nott'ham Forest
11,2022-10-18,Away,D,0,0,Brighton,0.1,1.7,30,Nott'ham Forest
12,2022-10-22,Home,W,1,0,Liverpool,1.9,1.6,25,Nott'ham Forest
13,2022-10-30,Away,L,0,5,Arsenal,0.4,2.3,31,Nott'ham Forest
14,2022-11-05,Home,D,2,2,Brentford,1.5,1.5,48,Nott'ham Forest
16,2022-11-12,Home,W,1,0,Crystal Palace,1.1,1.2,32,Nott'ham Forest
18,2022-12-27,Away,L,0,3,Manchester Utd,0.7,2.4,35,Nott'ham Forest
19,2023-01-01,Home,D,1,1,Chelsea,1.4,0.9,29,Nott'ham Forest
20,2023-01-04,Away,W,1,0,Southampton,1.4,0.5,37,Nott'ham Forest
23,2023-01-14,Home,W,2,0,Leicester City,2.4,1.0,39,Nott'ham Forest
24,2023-01-21,Away,D,1,1,Bournemouth,1.9,1.4,57,Nott'ham Forest
27,2023-02-05,Home,W,1,0,Leeds United,0.4,0.9,30,Nott'ham Forest
28,2023-02-11,Away,L,0,2,Fulham,0.7,1.5,50,Nott'ham Forest
29,2023-02-18,Home,D,1,1,Manchester City,0.9,2.4,27,Nott'ham Forest
30,2023-02-25,Away,L,0,4,West Ham,0.4,2.7,51,Nott'ham Forest
31,2023-03-05,Home,D,2,2,Everton,0.8,1.7,57,Nott'ham Forest
32,2023-03-11,Away,L,1,3,Tottenham,1.5,2.0,45,Nott'ham Forest
33,2023-03-17,Home,L,1,2,Newcastle Utd,0.4,2.4,39,Nott'ham Forest
34,2023-04-01,Home,D,1,1,Wolves,1.2,0.5,29,Nott'ham Forest
35,2023-04-04,Away,,,,Leeds United,,,,Nott'ham Forest
36,2023-04-08,Away,,,,Aston Villa,,,,Nott'ham Forest
37,2023-04-16,Home,,,,Manchester Utd,,,,Nott'ham Forest
38,2023-04-22,Away,,,,Liverpool,,,,Nott'ham Forest
39,2023-04-26,Home,,,,Brighton,,,,Nott'ham Forest
40,2023-04-29,Away,,,,Brentford,,,,Nott'ham Forest
41,2023-05-08,Home,,,,Southampton,,,,Nott'ham Forest
42,2023-05-13,Away,,,,Chelsea,,,,Nott'ham Forest
43,2023-05-20,Home,,,,Arsenal,,,,Nott'ham Forest
44,2023-05-28,Away,,,,Crystal Palace,,,,Nott'ham Forest
