,team,spi,off,def,date
0,Man City,92.3,2.9,0.3,7/19/2022
1,Liverpool,90.5,2.7,0.3,7/19/2022
2,Chelsea,85.7,2.4,0.4,7/19/2022
3,Tottenham,81.9,2.4,0.6,7/19/2022
4,Arsenal,78.5,2.2,0.6,7/19/2022
5,Man United,75.2,2.1,0.7,7/19/2022
6,Aston Villa,74.1,2,0.7,7/19/2022
7,Brighton,73.7,1.9,0.7,7/19/2022
8,Leicester,71.2,2,0.8,7/19/2022
9,West Ham,70.6,1.9,0.8,7/19/2022
10,Crystal Palace,71.4,1.8,0.7,7/19/2022
11,Brentford,68.6,1.9,0.9,7/19/2022
12,Newcastle,68.6,1.8,0.8,7/19/2022
13,Wolves,67.7,1.8,0.8,7/19/2022
14,Everton,63.8,1.8,1,7/19/2022
15,Leeds United,62.2,1.8,1.1,7/19/2022
16,Southamon,61.3,1.8,1.1,7/19/2022
17,Fulham,58.7,1.6,1,7/19/2022
18,Bournemouth,57.9,1.5,1,7/19/2022
19,Nottm Forest,57.3,1.5,1,7/19/2022
