,team,spi,off,def,date
0,Arsenal,87.2,2.4,0.4,2023-01-23
1,Man City,90.8,2.8,0.4,2023-01-23
2,Man United,80.8,2.3,0.6,2023-01-23
3,Newcastle,82.2,2.1,0.5,2023-01-23
4,Liverpool,83.8,2.6,0.7,2023-01-23
5,Tottenham,78.3,2.3,0.7,2023-01-23
6,Brighton,79.5,2.3,0.7,2023-01-23
7,Chelsea,81.1,2.1,0.5,2023-01-23
8,Brentford,71.2,2.0,0.8,2023-01-23
9,Aston Villa,73.5,1.9,0.7,2023-01-23
10,Fulham,67.2,1.9,0.9,2023-01-23
11,Crystal Palace,65.8,1.6,0.8,2023-01-23
12,West Ham,72.6,1.8,0.7,2023-01-23
13,Leeds United,66.4,1.9,1.0,2023-01-23
14,Leicester,67.7,1.9,0.9,2023-01-23
15,Nottm Forest,58.7,1.6,1.0,2023-01-23
16,Wolves,63.1,1.6,0.9,2023-01-23
17,Southamon,61.7,1.7,1.0,2023-01-23
18,Bournemouth,54.9,1.5,1.1,2023-01-23
19,Everton,58.3,1.6,1.0,2023-01-23
